year;country_code;country;sector_nace_r2;employment_thousand_persons;employment_persons;data_flag;sex;age;source_id;dataset_id;source;unit
2012;PT;Portugal;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";133.9;133900.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2012;PT;Portugal;Administrative and support service activities;144.2;144200.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2012;PT;Portugal;Agriculture, forestry and fishing;492.8;492800.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2012;PT;Portugal;Arts, entertainment and recreation;51.4;51400.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2012;PT;Portugal;Construction;342.4;342400.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2012;PT;Portugal;Education;368.9;368900.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2012;PT;Portugal;Electricity, gas, steam and air conditioning supply;18.1;18100.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2012;PT;Portugal;Financial and insurance activities;96.9;96900.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2012;PT;Portugal;Human health and social work activities;369.5;369500.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2012;PT;Portugal;Information and communication;83.7;83700.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2012;PT;Portugal;Manufacturing;738.8;738800.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2012;PT;Portugal;Mining and quarrying;13.5;13500.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2012;PT;Portugal;Other service activities;92.3;92300.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2012;PT;Portugal;Professional, scientific and technical activities;151.5;151500.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2012;PT;Portugal;"Public administration and defence; compulsory social security";288.7;288700.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2012;PT;Portugal;Real estate activities;23.4;23400.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2012;PT;Portugal;Transportation and storage;166.2;166200.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2012;PT;Portugal;"Water supply; sewerage, waste management and remediation activities";28.2;28200.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2012;PT;Portugal;"Wholesale and retail trade; repair of motor vehicles and motorcycles";659.9;659900.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2013;PT;Portugal;Accommodation and food service activities;290.9;290900.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2013;PT;Portugal;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";129.0;129000.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
