year;nationality;gender;permits_granted;resident_count;source_id;source
2015;Nigéria;Feminino;25;176;F001 / F002;SEF + AIMA — combinado
2015;Nigéria;Masculino;34;252;F001 / F002;SEF + AIMA — combinado
2015;Noruega;Feminino;25;228;F001 / F002;SEF + AIMA — combinado
2015;Noruega;Masculino;42;287;F001 / F002;SEF + AIMA — combinado
2015;Nova Zelândia;Feminino;3;16;F001 / F002;SEF + AIMA — combinado
2015;Nova Zelândia;Masculino;6;23;F001 / F002;SEF + AIMA — combinado
2015;Níger;Feminino;0;1;F001 / F002;SEF + AIMA — combinado
2015;Níger;Masculino;2;5;F001 / F002;SEF + AIMA — combinado
2015;Omã;Feminino;0;0;F001 / F002;SEF + AIMA — combinado
2015;Omã;Masculino;0;3;F001 / F002;SEF + AIMA — combinado
2015;Palau;Feminino;0;1;F001 / F002;SEF + AIMA — combinado
2015;Palau;Masculino;0;0;F001 / F002;SEF + AIMA — combinado
2015;Palestina;Feminino;6;25;F001 / F002;SEF + AIMA — combinado
2015;Palestina;Masculino;4;27;F001 / F002;SEF + AIMA — combinado
2015;Panamá;Feminino;1;22;F001 / F002;SEF + AIMA — combinado
2015;Panamá;Masculino;0;5;F001 / F002;SEF + AIMA — combinado
2015;Paquistão;Feminino;165;984;F001 / F002;SEF + AIMA — combinado
2015;Paquistão;Masculino;403;2058;F001 / F002;SEF + AIMA — combinado
2015;Paraguai;Feminino;8;69;F001 / F002;SEF + AIMA — combinado
2015;Paraguai;Masculino;6;23;F001 / F002;SEF + AIMA — combinado
2015;Países Baixos;Feminino;393;2744;F001 / F002;SEF + AIMA — combinado
2015;Países Baixos;Masculino;441;3113;F001 / F002;SEF + AIMA — combinado
2015;Peru;Feminino;16;170;F001 / F002;SEF + AIMA — combinado
2015;Peru;Masculino;8;86;F001 / F002;SEF + AIMA — combinado
2015;Polónia;Feminino;234;987;F001 / F002;SEF + AIMA — combinado
2015;Polónia;Masculino;81;395;F001 / F002;SEF + AIMA — combinado
2015;Quirguistão;Feminino;0;20;F001 / F002;SEF + AIMA — combinado
2015;Quirguistão;Masculino;0;11;F001 / F002;SEF + AIMA — combinado
2015;Quénia;Feminino;9;46;F001 / F002;SEF + AIMA — combinado
2015;Quénia;Masculino;4;18;F001 / F002;SEF + AIMA — combinado
2015;Reino Unido;Feminino;813;8186;F001 / F002;SEF + AIMA — combinado
2015;Reino Unido;Masculino;1053;9051;F001 / F002;SEF + AIMA — combinado
2015;República Centro-Africana;Feminino;0;3;F001 / F002;SEF + AIMA — combinado
2015;República Centro-Africana;Masculino;1;4;F001 / F002;SEF + AIMA — combinado
