year;quarter;period;country;gdp_chain_volume_million_eur;source_id;source;unit;price_basis;seasonal_adjusted;notes
2016;Q3;2016-Q3;PT;51307.722;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2016;Q4;2016-Q4;PT;51888.004;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2017;Q1;2017-Q1;PT;52390.649;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2017;Q2;2017-Q2;PT;52540.941;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2017;Q3;2017-Q3;PT;52900.092;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2017;Q4;2017-Q4;PT;53398.541;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2018;Q1;2018-Q1;PT;53711.486;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2018;Q2;2018-Q2;PT;54224.892;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2018;Q3;2018-Q3;PT;54588.738;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2018;Q4;2018-Q4;PT;54928.548;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2019;Q1;2019-Q1;PT;55380.995;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2019;Q2;2019-Q2;PT;55688.092;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2019;Q3;2019-Q3;PT;55917.986;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2019;Q4;2019-Q4;PT;56437.182;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2020;Q1;2020-Q1;PT;54035.923;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2020;Q2;2020-Q2;PT;45906.173;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;Impacto COVID-19 — maior queda em volume real
2020;Q3;2020-Q3;PT;52485.789;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2020;Q4;2020-Q4;PT;52665.233;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2021;Q1;2021-Q1;PT;51130.05;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2021;Q2;2021-Q2;PT;53492.658;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;Recuperacao pos-COVID em volume real
2021;Q3;2021-Q3;PT;55392.655;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2021;Q4;2021-Q4;PT;56478.382;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2022;Q1;2022-Q1;PT;57306.851;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2022;Q2;2022-Q2;PT;57529.752;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2022;Q3;2022-Q3;PT;58182.336;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2022;Q4;2022-Q4;PT;58598.716;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2023;Q1;2023-Q1;PT;59343.06;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2023;Q2;2023-Q2;PT;59631.229;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2023;Q3;2023-Q3;PT;59692.307;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2023;Q4;2023-Q4;PT;60131.158;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2024;Q1;2024-Q1;PT;60560.798;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2024;Q2;2024-Q2;PT;60876.587;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2024;Q3;2024-Q3;PT;60964.596;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2024;Q4;2024-Q4;PT;61684.19;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2025;Q1;2025-Q1;PT;61510.004;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2025;Q2;2025-Q2;PT;61931.393;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2025;Q3;2025-Q3;PT;62302.804;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2025;Q4;2025-Q4;PT;62885.097;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
2026;Q1;2026-Q1;PT;62915.273;FONTE-004;INE Contas Nacionais Trimestrais Base 2021;million_eur;chain_volume_2021;yes;
