year;district;new_registrations_count;source_id;source
2019;Évora;1267;F014;Segurança Social
2020;Aveiro;3977;F014;Segurança Social
2020;Beja;9584;F014;Segurança Social
2020;Braga;4596;F014;Segurança Social
2020;Bragança;712;F014;Segurança Social
2020;Castelo Branco;1262;F014;Segurança Social
2020;Coimbra;2535;F014;Segurança Social
2020;Faro;15327;F014;Segurança Social
2020;Guarda;326;F014;Segurança Social
2020;Leiria;4325;F014;Segurança Social
2020;Lisboa;64752;F014;Segurança Social
2020;Outro;3275;F014;Segurança Social
2020;Portalegre;362;F014;Segurança Social
2020;Porto;12733;F014;Segurança Social
2020;Região Autónoma dos Açores;360;F014;Segurança Social
2020;Região Autónoma da Madeira;779;F014;Segurança Social
2020;Santarém;3382;F014;Segurança Social
2020;Setúbal;16656;F014;Segurança Social
2020;Viana do Castelo;1116;F014;Segurança Social
2020;Vila Real;384;F014;Segurança Social
2020;Viseu;1519;F014;Segurança Social
2020;Évora;771;F014;Segurança Social
2021;Aveiro;4025;F014;Segurança Social
2021;Beja;9007;F014;Segurança Social
2021;Braga;4628;F014;Segurança Social
2021;Bragança;949;F014;Segurança Social
2021;Castelo Branco;1517;F014;Segurança Social
2021;Coimbra;1993;F014;Segurança Social
2021;Faro;15718;F014;Segurança Social
2021;Guarda;412;F014;Segurança Social
2021;Leiria;3907;F014;Segurança Social
2021;Lisboa;46336;F014;Segurança Social
2021;Outro;3711;F014;Segurança Social
2021;Portalegre;374;F014;Segurança Social
2021;Porto;11630;F014;Segurança Social
2021;Região Autónoma dos Açores;414;F014;Segurança Social
2021;Região Autónoma da Madeira;798;F014;Segurança Social
2021;Santarém;3224;F014;Segurança Social
2021;Setúbal;10717;F014;Segurança Social
2021;Viana do Castelo;1359;F014;Segurança Social
2021;Vila Real;434;F014;Segurança Social
2021;Viseu;1544;F014;Segurança Social
2021;Évora;967;F014;Segurança Social
2022;Aveiro;21250;F014;Segurança Social
2022;Beja;35503;F014;Segurança Social
2022;Braga;24280;F014;Segurança Social
2022;Bragança;3047;F014;Segurança Social
2022;Castelo Branco;5947;F014;Segurança Social
2022;Coimbra;14153;F014;Segurança Social
2022;Faro;41673;F014;Segurança Social
2022;Guarda;2060;F014;Segurança Social
2022;Leiria;23121;F014;Segurança Social
2022;Lisboa;172056;F014;Segurança Social
2022;Outro;4281;F014;Segurança Social
2022;Portalegre;1816;F014;Segurança Social
2022;Porto;57537;F014;Segurança Social
2022;Região Autónoma dos Açores;1489;F014;Segurança Social
2022;Região Autónoma da Madeira;3549;F014;Segurança Social
2022;Santarém;14910;F014;Segurança Social
2022;Setúbal;45269;F014;Segurança Social
2022;Viana do Castelo;7872;F014;Segurança Social
2022;Vila Real;2976;F014;Segurança Social
2022;Viseu;8601;F014;Segurança Social
2022;Évora;3983;F014;Segurança Social
2023;Aveiro;19153;F014;Segurança Social
2023;Beja;24832;F014;Segurança Social
2023;Braga;16030;F014;Segurança Social
2023;Bragança;2385;F014;Segurança Social
2023;Castelo Branco;6629;F014;Segurança Social
2023;Coimbra;13315;F014;Segurança Social
2023;Faro;30166;F014;Segurança Social
2023;Guarda;2259;F014;Segurança Social
2023;Leiria;25652;F014;Segurança Social
2023;Lisboa;117203;F014;Segurança Social
2023;Outro;42955;F014;Segurança Social
2023;Portalegre;5938;F014;Segurança Social
2023;Porto;53000;F014;Segurança Social
2023;Região Autónoma dos Açores;1702;F014;Segurança Social
2023;Região Autónoma da Madeira;4628;F014;Segurança Social
2023;Santarém;16763;F014;Segurança Social
2023;Setúbal;44211;F014;Segurança Social
2023;Viana do Castelo;7273;F014;Segurança Social
2023;Vila Real;3941;F014;Segurança Social
2023;Viseu;7776;F014;Segurança Social
2023;Évora;8375;F014;Segurança Social
2024;Aveiro;10051;F014;Segurança Social
2024;Beja;9949;F014;Segurança Social
2024;Braga;9157;F014;Segurança Social
2024;Bragança;1430;F014;Segurança Social
2024;Castelo Branco;3792;F014;Segurança Social
2024;Coimbra;6915;F014;Segurança Social
2024;Faro;21553;F014;Segurança Social
2024;Guarda;2276;F014;Segurança Social
2024;Leiria;14849;F014;Segurança Social
2024;Lisboa;65984;F014;Segurança Social
2024;Outro;25076;F014;Segurança Social
2024;Portalegre;3950;F014;Segurança Social
2024;Porto;33332;F014;Segurança Social
2024;Região Autónoma dos Açores;1291;F014;Segurança Social
2024;Região Autónoma da Madeira;2656;F014;Segurança Social
2024;Santarém;11426;F014;Segurança Social
2024;Setúbal;23423;F014;Segurança Social
2024;Viana do Castelo;4275;F014;Segurança Social
2024;Vila Real;2575;F014;Segurança Social
2024;Viseu;4535;F014;Segurança Social
2024;Évora;6715;F014;Segurança Social
2025;Aveiro;5094;F014;Segurança Social
2025;Beja;3065;F014;Segurança Social
2025;Braga;5778;F014;Segurança Social
2025;Bragança;1503;F014;Segurança Social
2025;Castelo Branco;1822;F014;Segurança Social
2025;Coimbra;2891;F014;Segurança Social
2025;Faro;9608;F014;Segurança Social
2025;Guarda;3540;F014;Segurança Social
2025;Leiria;4777;F014;Segurança Social
2025;Lisboa;56269;F014;Segurança Social
2025;Outro;5138;F014;Segurança Social
2025;Portalegre;768;F014;Segurança Social
2025;Porto;19499;F014;Segurança Social
2025;Região Autónoma dos Açores;1356;F014;Segurança Social
2025;Região Autónoma da Madeira;1858;F014;Segurança Social
2025;Santarém;9105;F014;Segurança Social
2025;Setúbal;14825;F014;Segurança Social
2025;Viana do Castelo;2048;F014;Segurança Social
2025;Vila Real;1380;F014;Segurança Social
2025;Viseu;3912;F014;Segurança Social
2025;Évora;3388;F014;Segurança Social
