year;district;contributors_count;source_id;source
2020;Região Autónoma dos Açores;1712;F014;Segurança Social
2020;Região Autónoma da Madeira;3206;F014;Segurança Social
2020;Santarém;12502;F014;Segurança Social
2020;Setúbal;46354;F014;Segurança Social
2020;Viana do Castelo;4323;F014;Segurança Social
2020;Vila Real;1485;F014;Segurança Social
2020;Viseu;4334;F014;Segurança Social
2020;Évora;3163;F014;Segurança Social
2021;Aveiro;15480;F014;Segurança Social
2021;Beja;23053;F014;Segurança Social
2021;Braga;16519;F014;Segurança Social
2021;Bragança;2455;F014;Segurança Social
2021;Castelo Branco;3913;F014;Segurança Social
2021;Coimbra;9092;F014;Segurança Social
2021;Faro;55034;F014;Segurança Social
2021;Guarda;1557;F014;Segurança Social
2021;Leiria;17795;F014;Segurança Social
2021;Lisboa;206497;F014;Segurança Social
2021;Outro;7815;F014;Segurança Social
2021;Portalegre;1787;F014;Segurança Social
2021;Porto;42485;F014;Segurança Social
2021;Região Autónoma dos Açores;1904;F014;Segurança Social
2021;Região Autónoma da Madeira;3345;F014;Segurança Social
2021;Santarém;14475;F014;Segurança Social
2021;Setúbal;50604;F014;Segurança Social
2021;Viana do Castelo;5361;F014;Segurança Social
2021;Vila Real;1593;F014;Segurança Social
2021;Viseu;5024;F014;Segurança Social
2021;Évora;3699;F014;Segurança Social
2022;Aveiro;25808;F014;Segurança Social
2022;Beja;38172;F014;Segurança Social
2022;Braga;27875;F014;Segurança Social
2022;Bragança;3564;F014;Segurança Social
2022;Castelo Branco;6648;F014;Segurança Social
2022;Coimbra;14622;F014;Segurança Social
2022;Faro;73982;F014;Segurança Social
2022;Guarda;2243;F014;Segurança Social
2022;Leiria;28292;F014;Segurança Social
2022;Lisboa;273479;F014;Segurança Social
2022;Outro;8635;F014;Segurança Social
2022;Portalegre;2703;F014;Segurança Social
2022;Porto;67937;F014;Segurança Social
2022;Região Autónoma dos Açores;2603;F014;Segurança Social
2022;Região Autónoma da Madeira;4740;F014;Segurança Social
2022;Santarém;22001;F014;Segurança Social
2022;Setúbal;68915;F014;Segurança Social
2022;Viana do Castelo;9412;F014;Segurança Social
2022;Vila Real;2752;F014;Segurança Social
2022;Viseu;8879;F014;Segurança Social
2022;Évora;5937;F014;Segurança Social
2023;Aveiro;35847;F014;Segurança Social
2023;Beja;47487;F014;Segurança Social
2023;Braga;37240;F014;Segurança Social
2023;Bragança;4793;F014;Segurança Social
2023;Castelo Branco;9980;F014;Segurança Social
2023;Coimbra;20935;F014;Segurança Social
2023;Faro;85127;F014;Segurança Social
2023;Guarda;3576;F014;Segurança Social
2023;Leiria;40040;F014;Segurança Social
2023;Lisboa;331193;F014;Segurança Social
2023;Outro;14468;F014;Segurança Social
2023;Portalegre;4439;F014;Segurança Social
2023;Porto;95022;F014;Segurança Social
2023;Região Autónoma dos Açores;3442;F014;Segurança Social
2023;Região Autónoma da Madeira;7387;F014;Segurança Social
2023;Santarém;30850;F014;Segurança Social
2023;Setúbal;92335;F014;Segurança Social
2023;Viana do Castelo;13278;F014;Segurança Social
2023;Vila Real;4414;F014;Segurança Social
2023;Viseu;13265;F014;Segurança Social
2023;Évora;9239;F014;Segurança Social
2024;Aveiro;42317;F014;Segurança Social
2024;Beja;40071;F014;Segurança Social
2024;Braga;43756;F014;Segurança Social
2024;Bragança;5742;F014;Segurança Social
2024;Castelo Branco;11729;F014;Segurança Social
2024;Coimbra;25115;F014;Segurança Social
2024;Faro;95574;F014;Segurança Social
2024;Guarda;4916;F014;Segurança Social
2024;Leiria;48149;F014;Segurança Social
2024;Lisboa;374935;F014;Segurança Social
2024;Outro;18044;F014;Segurança Social
2024;Portalegre;5895;F014;Segurança Social
2024;Porto;117221;F014;Segurança Social
2024;Região Autónoma dos Açores;4358;F014;Segurança Social
2024;Região Autónoma da Madeira;9756;F014;Segurança Social
2024;Santarém;37903;F014;Segurança Social
2024;Setúbal;114451;F014;Segurança Social
2024;Viana do Castelo;15108;F014;Segurança Social
2024;Vila Real;5622;F014;Segurança Social
2024;Viseu;16854;F014;Segurança Social
2024;Évora;10658;F014;Segurança Social
2025;Aveiro;45457;F014;Segurança Social
2025;Beja;35357;F014;Segurança Social
2025;Braga;48792;F014;Segurança Social
2025;Bragança;6360;F014;Segurança Social
2025;Castelo Branco;12620;F014;Segurança Social
2025;Coimbra;27431;F014;Segurança Social
2025;Faro;97924;F014;Segurança Social
2025;Guarda;5110;F014;Segurança Social
2025;Leiria;49957;F014;Segurança Social
2025;Lisboa;399133;F014;Segurança Social
2025;Outro;15169;F014;Segurança Social
2025;Portalegre;5591;F014;Segurança Social
2025;Porto;126252;F014;Segurança Social
2025;Região Autónoma dos Açores;5321;F014;Segurança Social
2025;Região Autónoma da Madeira;11261;F014;Segurança Social
2025;Santarém;41869;F014;Segurança Social
2025;Setúbal;130048;F014;Segurança Social
2025;Viana do Castelo;15813;F014;Segurança Social
2025;Vila Real;6141;F014;Segurança Social
2025;Viseu;19340;F014;Segurança Social
2025;Évora;10595;F014;Segurança Social
