Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Agregados Fiscais;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por agregado fiscal;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado por agregado fiscal (NUTS III=100);;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;Taxa de crescimento anual médio do rendimento bruto declarado deduzido do IRS liquidado por agregado fiscal (2020 - 2022);Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2021);;;Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2022);;;;;;;;;;
0403;Município;Carrazeda de Ansiães;2 520;39 054;35 859;15 498;4 747;6 977;7 933;8 696;9 870;11 216;13 239;16 402;19 282;21 782;31 317;102;96;92;90;85;4 725;6 971;7 840;8 630;9 870;10 878;12 737;15 678;18 137;20 367;27 726;38,7;37,2;2,9;5,9;5,5;4,5;4,1;2,7;7,9;6,8;7,6;;;;;;;;
0404;Município;Freixo de Espada à Cinta;1 584;24 739;22 790;15 618;5 137;7 519;8 360;9 121;10 144;11 415;13 842;17 156;19 520;22 209;29 346;110;101;94;91;80;5 053;7 480;8 325;9 091;9 981;10 982;13 327;16 232;18 410;20 940;26 539;36,2;35,3;2,8;5,3;3,7;3,9;3,8;3,0;8,0;3,6;5,9;;;;;;;;
1805;Município;Lamego;12 002;218 331;194 635;18 191;4 854;7 392;8 460;9 318;10 364;12 139;14 922;19 518;21 949;25 828;38 581;104;102;100;102;105;4 807;7 348;8 406;9 269;10 220;11 672;14 133;18 271;20 687;23 274;32 754;41,6;40,0;3,2;6,8;4,8;5,8;3,4;3,9;6,2;6,2;4,9;;;;;;;;
1704;Município;Mesão Frio;1 772;25 879;23 947;14 605;4 639;6 711;7 738;8 779;9 896;11 045;12 834;15 520;17 446;19 630;27 057;100;93;91;81;74;4 637;6 671;7 700;8 713;9 878;10 738;12 305;14 771;16 340;18 502;25 006;37,1;35,7;2,8;5,4;6,2;5,8;4,0;3,4;8,1;8,5;7,3;;;;;;;;
1807;Município;Moimenta da Beira;4 163;69 589;63 337;16 716;4 446;7 151;8 376;9 137;10 402;12 172;14 639;18 613;20 578;23 071;33 538;95;101;100;96;91;4 368;7 147;8 295;9 071;10 225;11 774;14 021;17 611;19 670;21 573;29 380;38,1;38,2;3,0;6,7;4,8;2,0;2,5;2,3;6,8;7,1;7,5;;;;;;;;
1707;Município;Murça;2 461;37 536;34 524;15 252;4 213;6 569;7 570;8 460;9 971;11 340;13 376;16 614;18 820;21 596;31 107;90;91;93;88;85;4 195;6 559;7 519;8 392;9 905;11 077;12 840;15 648;17 864;20 417;27 415;38,9;37,4;3,1;6,5;6,9;5,2;5,1;6,5;10,1;8,6;7,2;;;;;;;;
1812;Município;Penedono;1 301;19 059;17 486;14 650;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;5,6;4,5;3,5;2,7;8,2;7,7;11,8;;;;;;;;
1708;Município;Peso da Régua;7 197;122 523;110 575;17 024;4 971;7 316;8 340;9 129;10 193;11 956;14 497;18 310;20 739;23 418;34 842;107;100;98;97;95;4 935;7 267;8 302;9 059;10 083;11 558;13 749;17 181;19 504;21 794;30 286;39,3;38,2;3,0;6,1;5,5;4,3;4,1;3,0;6,3;7,0;6,6;;;;;;;;
1710;Município;Sabrosa;2 785;43 870;40 438;15 752;4 909;7 217;8 291;9 050;10 158;11 722;13 854;16 893;19 412;21 451;30 101;105;100;96;91;82;4 874;7 177;8 249;9 000;10 076;11 310;13 225;16 152;18 188;20 347;27 039;36,2;36,5;2,8;5,5;5,6;6,7;4,4;2,5;4,9;6,8;9,5;;;;;;;;
1711;Município;Santa Marta de Penaguião;3 240;44 954;41 779;13 875;3 289;6 071;6 778;7 598;9 182;10 473;12 328;14 990;17 253;19 677;27 062;71;82;86;81;74;3 270;6 024;6 743;7 575;9 129;10 249;11 798;14 289;16 371;18 670;24 912;39,7;38,9;3,1;7,6;5,8;4,6;4,1;7,4;8,5;7,6;6,0;;;;;;;;
1815;Município;São João da Pesqueira;3 213;48 715;44 456;15 162;4 347;6 491;7 404;8 196;9 724;10 964;12 963;16 545;18 658;21 202;29 121;93;89;90;87;79;4 301;6 416;7 326;8 161;9 635;10 588;12 383;15 484;17 704;19 820;26 278;39,1;38,0;3,1;6,1;5,6;4,7;2,1;3,9;7,3;9,3;10,0;;;;;;;;
1818;Município;Sernancelhe;2 342;35 440;32 649;15 132;4 769;7 435;8 417;9 071;9 954;11 224;13 154;16 633;18 576;20 496;28 483;102;101;92;87;78;4 723;7 411;8 382;9 030;9 909;10 778;12 618;15 696;17 495;19 596;25 509;36,0;35,4;2,6;5,4;4,8;6,6;3,9;2,9;5,7;5,8;7,1;;;;;;;;
1819;Município;Tabuaço;2 109;31 605;29 157;14 986;4 452;6 847;7 784;8 748;9 897;11 322;13 254;16 267;18 110;20 549;28 994;96;94;93;85;79;4 417;6 812;7 742;8 722;9 870;11 061;12 852;15 456;17 267;19 450;25 291;38,4;36,3;2,9;5,7;8,3;8,1;5,7;4,7;8,0;10,9;7,3;;;;;;;;
1820;Município;Tarouca;3 204;51 122;46 975;15 956;4 533;7 324;8 460;9 288;10 064;11 742;14 147;18 033;20 184;22 413;30 874;97;102;97;94;84;4 519;7 294;8 414;9 234;10 007;11 272;13 406;17 127;19 253;21 089;27 738;37,8;36,8;2,9;6,1;4,9;7,2;3,3;3,8;6,5;6,5;7,2;;;;;;;;
0409;Município;Torre de Moncorvo;3 367;53 436;48 707;15 871;4 452;7 098;8 109;8 946;10 083;11 732;14 142;17 737;19 950;22 360;31 204;96;98;97;93;85;4 452;7 039;8 108;8 887;9 979;11 282;13 380;16 542;18 661;20 594;27 338;38,2;36,7;2,9;6,1;4,7;5,5;3,2;1,5;7,5;6,2;8,5;;;;;;;;
0914;Município;Vila Nova de Foz Côa;3 047;49 066;44 249;16 103;4 085;6 550;7 563;8 524;9 921;11 766;13 943;17 295;19 614;22 713;33 358;88;91;97;92;91;3 993;6 513;7 519;8 484;9 877;11 274;13 128;16 170;18 469;20 950;28 622;39,3;38,9;3,2;7,2;5,5;5,6;3,6;3,3;6,7;7,5;9,0;;;;;;;;
1714;Município;Vila Real;25 157;541 665;473 835;21 531;5 133;8 195;9 356;9 940;11 790;14 429;18 426;23 564;27 086;31 536;46 392;110;113;119;126;127;5 064;8 130;9 284;9 897;11 280;13 631;17 212;21 727;24 372;27 876;38 606;42,0;41,0;3,4;7,6;5,3;5,6;4,4;3,2;4,8;6,1;3,7;;;;;;;;
11E;NUTS 3;   Terras de Trás-os-Montes;52 925;960 408;858 732;18 147;4 610;7 196;8 342;9 267;10 482;12 407;15 314;19 929;22 616;25 972;37 744;100;100;100;100;100;4 546;7 151;8 298;9 203;10 258;11 862;14 525;18 713;20 937;23 449;32 555;40,8;39,9;3,3;7,2;4,4;3,2;3,7;3,1;6,4;5,3;4,3;;;;;;;;
0401;Município;Alfândega da Fé;2 099;33 191;30 220;15 813;4 570;6 778;7 584;8 613;9 931;11 328;13 572;16 986;19 335;21 891;33 135;99;91;91;85;88;4 560;6 764;7 540;8 553;9 870;10 966;13 061;16 115;18 028;20 667;28 523;39,1;38,0;3,1;6,3;5,8;7,1;5,3;3,5;5,7;6,3;6,0;;;;;;;;
0402;Município;Bragança;17 672;368 287;323 261;20 840;4 906;7 901;9 048;9 870;11 656;14 122;18 357;23 610;26 684;30 544;43 935;106;108;114;118;116;4 867;7 825;8 971;9 870;11 127;13 372;17 174;21 692;24 075;27 081;36 893;41,3;40,6;3,5;7,6;3,2;0,8;3,0;2,2;4,8;3,5;3,9;;;;;;;;
0405;Município;Macedo de Cavaleiros;6 855;112 634;101 539;16 431;3 807;6 496;7 519;8 527;9 870;11 219;13 398;17 249;19 732;23 014;34 300;83;90;90;87;91;3 797;6 476;7 497;8 476;9 870;10 782;12 776;16 148;18 785;21 141;29 646;41,0;40,6;3,3;7,8;4,6;2,9;3,9;4,3;6,5;5,2;5,8;;;;;;;;
0406;Município;Miranda do Douro;3 262;58 125;52 572;17 819;5 131;7 466;8 552;9 540;10 799;12 958;16 093;20 371;22 625;25 522;36 472;111;103;104;100;97;5 029;7 399;8 448;9 440;10 502;12 242;15 236;19 408;21 049;22 952;31 658;39,1;37,8;3,1;6,3;3,8;3,5;2,9;3,0;5,5;4,6;6,1;;;;;;;;
0407;Município;Mirandela;10 411;189 998;170 016;18 250;4 582;7 242;8 494;9 401;10 579;12 479;15 452;19 880;22 602;25 953;37 786;99;102;101;100;100;4 520;7 195;8 460;9 354;10 344;11 923;14 642;18 715;20 924;23 378;32 698;40,5;40,0;3,2;7,2;4,5;4,6;3,4;3,1;6,0;5,6;4,2;;;;;;;;
0408;Município;Mogadouro;4 082;68 215;61 525;16 711;4 605;7 062;7 970;8 821;9 999;11 482;13 872;18 156;20 365;23 288;34 162;100;96;93;90;91;4 587;6 977;7 948;8 781;9 932;11 119;13 245;16 921;19 199;21 339;29 518;40,1;38,8;3,1;6,4;4,8;6,9;3,6;4,6;5,7;6,0;5,2;;;;;;;;
0410;Município;Vila Flor;2 781;43 597;39 928;15 677;4 360;6 778;7 815;8 653;10 017;11 424;13 619;16 682;19 243;21 722;30 572;95;94;92;85;81;4 279;6 739;7 708;8 618;9 932;11 072;13 050;15 753;18 049;20 476;27 524;39,1;38,0;3,0;6,4;4,7;3,3;5,4;5,0;5,3;4,0;4,4;;;;;;;;
0411;Município;Vimioso;2 009;31 158;28 465;15 509;4 485;6 937;7 794;8 610;9 870;11 112;13 375;16 906;19 095;21 574;29 609;97;93;90;84;78;4 432;6 894;7 754;8 489;9 870;10 784;12 812;15 969;17 856;20 140;26 742;38,5;37,2;2,9;6,0;4,5;4,7;3,8;2,2;7,0;5,3;4,0;;;;;;;;
0412;Município;Vinhais;3 754;55 202;51 206;14 705;4 870;6 749;7 504;8 478;9 870;10 977;12 904;15 851;18 137;20 841;28 311;106;90;88;80;75;4 821;6 686;7 472;8 413;9 835;10 698;12 425;15 105;17 222;19 576;25 781;37,1;35,8;2,9;5,3;5,7;4,1;4,1;1,8;6,6;7,2;7,4;;;;;;;;
19;NUTS 2;  Centro;866 581;17 334 734;15 322 354;20 004;5 684;8 561;9 568;10 071;11 758;14 025;17 200;21 492;24 234;27 938;40 100;;;;;;5 628;8 520;9 517;9 986;11 259;13 262;16 098;20 080;22 294;25 185;34 356;39,0;38,5;3,0;6,1;4,8;3,9;4,1;3,9;4,9;5,5;3,7;;;;;;;;
191;NUTS 3;   Região de Aveiro;198 135;4 015 580;3 539 734;20 267;5 590;8 555;9 597;10 154;11 907;14 153;17 240;21 627;24 452;28 129;40 520;100;100;100;100;100;5 540;8 498;9 542;10 044;11 372;13 351;16 091;20 196;22 510;25 461;34 696;39,4;38,9;3,0;6,3;5,2;5,1;5,0;4,9;4,6;5,4;3,3;;;;;;;;
0101;Município;Águeda;25 455;486 169;435 976;19 099;5 970;8 708;9 609;10 090;11 560;13 596;16 245;20 282;22 670;25 825;36 486;107;100;96;93;90;5 940;8 660;9 564;10 009;11 065;12 913;15 351;19 142;21 404;23 867;32 114;37,8;37,5;2,8;5,4;5,5;3,9;4,8;6,0;4,7;6,2;3,7;;;;;;;;
0102;Município;Albergaria-a-Velha;13 265;249 372;225 052;18 799;5 944;8 813;9 734;10 324;11 947;14 122;16 778;20 804;23 267;26 392;35 856;106;101;100;95;88;5 917;8 760;9 707;10 137;11 431;13 305;15 675;19 452;21 630;24 300;31 726;36,5;36,0;2,8;5,4;4,9;4,5;4,7;6,0;4,9;5,0;3,4;;;;;;;;
0103;Município;Anadia;14 863;285 091;252 021;19 181;5 604;8 237;9 270;9 870;11 278;13 237;15 827;19 692;22 111;25 264;36 437;100;97;94;90;90;5 556;8 191;9 192;9 870;10 840;12 666;14 965;18 531;20 802;23 271;31 806;39,5;38,9;2,8;5,7;5,8;5,4;5,0;6,0;4,8;6,6;4,6;;;;;;;;
0105;Município;Aveiro;44 937;1 052 882;899 504;23 430;5 613;8 873;9 849;10 618;12 861;15 676;19 727;25 348;29 037;33 770;49 416;100;103;111;119;122;5 564;8 790;9 792;10 321;12 143;14 591;18 071;22 780;25 659;29 243;40 541;41,3;41,0;3,3;7,3;3,7;3,8;3,6;3,4;4,6;3,8;2,8;;;;;;;;
0108;Município;Estarreja;13 989;264 416;236 877;18 902;5 357;8 331;9 455;10 082;11 792;13 910;16 826;20 909;23 351;26 497;37 006;96;99;98;95;91;5 318;8 274;9 385;9 992;11 258;13 118;15 671;19 441;21 681;24 261;32 331;37,8;37,3;2,9;6,1;5,2;5,6;5,5;4,9;4,2;5,0;3,4;;;;;;;;
0110;Município;Ílhavo;21 243;451 716;393 971;21 264;5 402;8 545;9 634;10 289;12 237;14 686;18 089;22 843;26 005;29 770;42 934;97;100;104;106;106;5 377;8 489;9 575;10 108;11 642;13 734;16 805;21 031;23 569;26 596;36 367;40,3;39,9;3,1;6,8;4,9;4,8;4,7;3,9;4,9;5,2;3,9;;;;;;;;
0112;Município;Murtosa;4 874;87 498;78 260;17 952;3 910;6 894;8 231;9 402;10 809;12 823;15 705;19 941;22 643;25 947;37 517;70;86;91;93;93;3 835;6 835;8 170;9 323;10 465;12 184;14 669;18 748;21 089;23 759;32 239;40,7;40,0;3,5;8,4;5,6;7,7;6,0;4,4;3,0;5,2;5,7;;;;;;;;
0114;Município;Oliveira do Bairro;12 119;226 478;205 048;18 688;5 772;8 500;9 417;9 988;11 495;13 637;16 540;21 065;23 556;26 689;36 929;103;98;96;96;91;5 749;8 453;9 365;9 925;11 067;12 919;15 523;19 842;22 039;24 548;32 595;37,3;36,9;2,9;5,7;5,8;5,3;5,7;6,3;4,2;5,8;4,5;;;;;;;;
0115;Município;Ovar;29 855;599 509;531 099;20 081;5 779;8 711;9 699;10 253;12 053;14 216;17 169;21 303;23 902;27 747;39 680;103;101;100;98;98;5 734;8 664;9 663;10 111;11 518;13 410;16 117;19 945;22 174;25 104;34 090;38,8;38,3;2,9;5,9;6,1;8,0;6,1;5,8;5,8;6,1;3,7;;;;;;;;
0117;Município;Sever do Vouga;5 842;104 224;94 634;17 841;5 786;8 387;9 294;9 864;11 324;13 120;15 575;19 324;21 585;24 815;34 887;104;97;93;88;86;5 764;8 340;9 233;9 846;10 932;12 529;14 791;18 166;20 319;23 184;30 893;36,1;36,1;2,8;5,4;5,3;6,4;4,4;7,4;3,7;6,1;3,2;;;;;;;;
0118;Município;Vagos;11 693;208 224;187 292;17 808;5 023;7 942;9 020;9 785;11 074;12 975;15 462;19 307;21 540;24 544;34 703;90;94;92;88;86;4 962;7 870;8 964;9 742;10 670;12 266;14 602;18 179;20 452;22 761;30 572;37,9;37,4;2,9;6,2;5,6;5,8;4,9;5,9;4,2;6,3;5,8;;;;;;;;
192;NUTS 3;   Região de Coimbra;231 230;4 954 105;4 315 594;21 425;5 836;8 745;9 706;10 261;12 133;14 614;18 200;22 853;26 056;30 107;43 806;100;100;100;100;100;5 793;8 699;9 682;10 115;11 583;13 795;16 968;21 164;23 583;26 712;36 640;40,0;39,5;3,1;6,3;4,3;3,6;3,6;3,5;5,1;5,1;3,5;;;;;;;;
0601;Município;Arganil;5 528;89 374;82 566;16 168;5 447;8 073;8 882;9 584;10 506;12 136;14 650;17 820;19 888;22 276;30 447;93;92;83;76;70;5 394;8 030;8 863;9 558;10 307;11 787;14 013;16 995;19 161;20 850;27 546;35,3;34,9;2,6;5,1;5,5;3,9;3,4;4,0;4,5;7,5;6,8;;;;;;;;
0602;Município;Cantanhede;17 690;323 557;290 154;18 290;5 085;7 837;8 903;9 740;11 053;13 030;15 887;20 165;22 775;26 256;37 238;87;92;89;87;85;5 041;7 781;8 847;9 706;10 642;12 413;14 947;18 840;21 226;23 929;32 233;38,9;38,1;3,1;6,4;5,6;4,5;5,1;4,4;5,9;6,0;5,5;;;;;;;;
0603;Município;Coimbra;77 309;2 029 264;1 694 448;26 249;6 130;9 361;10 093;11 091;13 553;17 044;21 600;28 187;32 521;38 308;56 878;105;104;117;125;130;6 090;9 281;9 993;10 654;12 773;15 823;19 837;24 892;28 060;32 100;45 202;42,0;42,0;3,5;7,4;3,2;1,1;2,4;2,8;6,1;4,0;2,9;;;;;;;;
0604;Município;Condeixa-a-Nova;8 603;191 734;168 948;22 287;6 420;9 498;10 155;10 998;13 310;16 251;19 987;25 018;28 373;32 661;46 517;110;105;111;109;106;6 402;9 410;10 029;10 639;12 611;15 179;18 601;22 859;25 531;29 098;39 231;38,2;37,7;3,1;6,1;4,8;2,4;4,1;3,2;6,5;5,5;4,2;;;;;;;;
0605;Município;Figueira da Foz;32 163;693 390;605 093;21 559;5 753;8 813;9 756;10 424;12 446;14 964;18 886;23 855;27 220;31 178;43 935;99;101;102;104;100;5 700;8 768;9 722;10 224;11 831;14 106;17 489;21 827;24 361;27 373;36 725;39,2;39,0;3,1;6,4;3,7;4,5;4,4;4,0;4,4;3,1;3,0;;;;;;;;
0606;Município;Góis;2 007;31 737;29 288;15 813;5 313;8 185;8 974;9 677;10 503;12 273;14 505;17 602;19 763;21 502;29 515;91;92;84;76;67;5 284;8 156;8 949;9 658;10 269;11 706;13 744;16 641;18 254;20 475;26 520;34,9;34,1;2,5;5,0;4,8;6,3;3,4;1,9;5,3;6,3;5,4;;;;;;;;
0607;Município;Lousã;8 702;166 179;149 365;19 097;5 662;8 742;9 678;10 133;12 032;14 344;17 682;21 835;24 085;27 051;37 203;97;100;98;92;85;5 637;8 697;9 618;10 022;11 471;13 538;16 536;20 373;22 187;24 561;32 351;37,1;36,4;2,8;5,7;4,9;3,9;4,3;4,1;5,3;5,6;2,9;;;;;;;;
0111;Município;Mealhada;10 325;206 145;184 432;19 966;6 077;8 999;9 818;10 445;12 297;14 655;17 747;21 959;24 893;28 616;39 618;104;101;100;96;90;6 026;8 953;9 790;10 225;11 732;13 790;16 629;20 480;22 899;25 995;34 332;37,4;36,9;2,9;5,7;5,1;4,3;3,7;4,3;5,6;6,5;4,2;;;;;;;;
0608;Município;Mira;6 202;114 413;101 862;18 448;4 953;7 683;8 795;9 706;11 012;12 996;15 804;19 900;22 362;25 581;37 247;85;91;89;86;85;4 913;7 618;8 740;9 695;10 596;12 373;14 901;18 609;20 774;23 229;32 302;39,6;38,9;3,0;6,6;5,4;6,4;4,1;5,0;4,7;6,7;7,4;;;;;;;;
0609;Município;Miranda do Corvo;6 081;108 050;98 329;17 769;5 784;8 470;9 424;9 985;11 447;13 436;16 236;19 861;22 160;24 826;33 996;99;97;92;85;78;5 749;8 460;9 386;9 912;11 031;12 714;15 275;18 689;20 866;22 847;30 326;36,0;35,3;2,7;5,3;4,8;3,7;3,0;4,3;5,6;6,7;5,5;;;;;;;;
0610;Município;Montemor-o-Velho;12 527;247 731;222 879;19 776;6 539;9 097;9 861;10 555;12 392;14 756;18 084;22 264;24 897;28 145;38 679;112;102;101;96;88;6 492;9 047;9 835;10 280;11 799;14 015;16 944;20 756;22 880;25 640;33 641;35,9;35,7;2,8;5,2;5,0;3,4;3,7;4,1;5,6;6,2;3,9;;;;;;;;
1808;Município;Mortágua;4 688;81 047;73 886;17 288;5 483;8 347;9 259;9 870;11 121;12 859;15 482;19 260;21 498;23 663;32 357;94;95;88;83;74;5 447;8 329;9 206;9 855;10 705;12 289;14 555;18 002;20 124;22 061;28 717;36,3;35,9;2,6;5,3;5,1;3,1;3,9;4,2;5,8;6,3;5,9;;;;;;;;
0611;Município;Oliveira do Hospital;9 618;159 463;146 746;16 580;5 483;8 181;9 077;9 736;10 675;12 390;14 813;18 515;20 368;22 481;31 410;94;94;85;78;72;5 456;8 142;9 047;9 726;10 403;11 867;14 190;17 583;19 717;21 492;28 328;35,1;35,2;2,6;5,2;5,7;4,8;3,9;3,9;4,6;7,6;7,6;;;;;;;;
0612;Município;Pampilhosa da Serra;1 774;28 297;26 203;15 951;6 135;8 447;9 176;9 789;11 033;12 509;14 816;18 213;19 836;21 845;28 717;105;95;86;76;66;6 135;8 372;9 146;9 783;10 622;12 021;14 146;17 321;18 971;20 532;26 093;31,9;31,8;2,5;4,3;4,7;1,2;1,6;1,4;6,4;7,9;7,0;;;;;;;;
0613;Município;Penacova;6 828;112 736;104 057;16 511;5 722;8 069;8 995;9 771;10 949;12 776;15 203;18 513;20 748;23 258;31 331;98;93;87;80;72;5 686;7 992;8 951;9 750;10 597;12 212;14 490;17 480;19 706;21 821;28 181;35,0;34,1;2,7;5,0;5,5;4,0;3,4;2,9;6,4;7,6;7,1;;;;;;;;
0614;Município;Penela;2 792;47 581;43 181;17 042;5 083;7 668;8 596;9 495;10 458;12 288;15 041;18 972;21 134;23 870;33 733;87;89;84;81;77;5 072;7 597;8 539;9 443;10 226;11 728;14 316;17 572;19 984;22 181;29 770;36,6;37,0;2,9;5,9;5,2;4,0;3,6;3,1;3,6;6,7;7,1;;;;;;;;
0615;Município;Soure;8 977;171 012;154 607;19 050;6 388;9 097;9 870;10 538;12 244;14 451;17 499;21 658;24 100;27 256;37 094;109;102;99;92;85;6 388;9 052;9 851;10 306;11 623;13 602;16 354;20 275;22 222;24 695;32 541;35,0;34,8;2,7;5,1;4,2;3,6;3,8;2,7;5,8;4,5;4,2;;;;;;;;
0616;Município;Tábua;5 683;90 943;83 234;16 003;5 284;7 689;8 625;9 407;10 265;11 705;13 999;17 393;19 535;21 411;29 621;91;89;80;75;68;5 262;7 660;8 578;9 373;10 140;11 267;13 341;16 423;18 550;20 538;26 732;38,2;35,6;2,7;5,1;5,8;4,5;3,4;3,2;5,8;8,4;9,3;;;;;;;;
0617;Município;Vila Nova de Poiares;3 733;61 451;56 317;16 462;5 284;8 040;9 065;9 706;10 814;12 619;14 697;18 265;20 670;23 279;31 870;91;93;86;79;73;5 284;7 968;9 027;9 697;10 427;11 952;13 792;17 213;19 495;21 809;29 045;36,2;35,1;2,7;5,5;5,7;4,7;5,0;4,1;6,5;6,3;5,3;;;;;;;;
193;NUTS 3;   Região de Leiria;154 394;3 074 450;2 729 022;19 913;5 854;8 794;9 707;10 270;12 115;14 413;17 512;21 711;24 502;28 088;39 366;100;100;100;100;100;5 804;8 730;9 692;10 118;11 544;13 572;16 340;20 170;22 440;25 375;33 990;37,7;37,5;2,9;5,9;4,6;4,1;4,0;3,9;4,7;5,2;3,7;;;;;;;;
1002;Município;Alvaiázere;3 113;49 128;45 035;15 782;5 401;7 794;8 654;9 343;10 220;11 590;13 913;17 002;18 992;21 223;30 718;92;89;80;78;78;5 354;7 700;8 608;9 282;10 097;11 236;13 076;15 845;17 911;19 986;27 475;35,2;35,1;2,6;5,1;4,5;4,7;4,9;3,0;7,9;4,2;5,7;;;;;;;;
1003;Município;Ansião;5 916;99 190;90 949;16 766;5 811;8 289;9 119;9 714;10 840;12 638;15 025;18 481;20 680;23 208;32 671;99;94;88;84;83;5 780;8 207;9 081;9 706;10 456;12 046;14 348;17 361;19 525;21 623;29 180;35,4;34,9;2,6;5,0;4,8;3,1;3,3;2,0;5,7;6,3;7,1;;;;;;;;
1004;Município;Batalha;8 305;164 156;147 037;19 766;6 002;8 929;9 749;10 326;12 224;14 526;17 833;21 903;24 767;28 320;38 537;103;100;101;101;98;5 985;8 884;9 725;10 145;11 642;13 627;16 679;20 379;22 724;25 762;33 882;36,4;36,7;2,9;5,7;4,6;4,7;4,9;5,1;4,5;4,3;3,9;;;;;;;;
1007;Município;Castanheira de Pêra;1 453;22 274;20 606;15 330;5 315;7 969;8 945;9 488;10 330;11 778;13 566;16 211;18 371;20 713;28 168;91;92;82;75;72;5 299;7 837;8 912;9 472;10 125;11 351;13 170;15 650;17 430;19 766;26 155;//;33,9;2,5;4,9;4,5;   4;   1;   3;6,1;7,9;7,4;;;;;;;;
1008;Município;Figueiró dos Vinhos;2 768;44 873;40 967;16 211;5 477;7 817;8 588;9 317;10 347;11 872;14 258;17 750;20 048;22 467;31 576;94;88;82;82;80;5 433;7 760;8 562;9 267;10 166;11 530;13 490;16 480;18 877;20 936;27 757;35,7;35,3;2,7;5,1;5,5;3,9;4,2;3,7;6,5;6,8;6,2;;;;;;;;
1009;Município;Leiria;69 836;1 504 065;1 315 984;21 537;6 038;9 100;9 870;10 636;12 676;15 238;18 725;23 370;26 632;30 489;43 123;103;102;106;109;110;6 000;9 026;9 870;10 346;12 000;14 272;17 311;21 518;24 086;27 180;36 535;38,7;38,5;3,0;6,1;4,5;3,5;3,9;3,5;5,6;5,0;3,6;;;;;;;;
1010;Município;Marinha Grande;22 616;454 713;403 133;20 106;5 700;8 929;9 817;10 575;12 735;15 077;18 129;22 194;24 981;28 576;39 625;97;101;105;102;101;5 642;8 869;9 777;10 316;12 001;14 084;16 827;20 430;22 717;25 575;34 251;37,1;37,0;2,9;6,1;3,7;3,5;3,1;2,8;4,6;4,3;3,0;;;;;;;;
1013;Município;Pedrógão Grande;1 845;28 769;26 299;15 593;5 284;7 422;8 319;9 046;9 996;11 627;13 623;16 947;18 928;21 547;29 316;90;86;81;77;74;5 284;7 403;8 287;9 004;9 958;11 135;12 960;15 963;17 780;19 888;25 986;35,4;35,3;2,7;4,9;5,9;5,8;6,9;5,2;5,3;4,8;6,5;;;;;;;;
1015;Município;Pombal;26 172;477 648;431 718;18 250;5 466;8 479;9 489;9 984;11 635;13 722;16 542;20 427;22 732;25 612;35 347;93;98;95;93;90;5 400;8 450;9 408;9 921;11 115;12 976;15 518;19 170;21 133;23 663;31 246;36,1;36,3;2,8;5,8;4,9;3,9;4,6;5,0;4,0;5,2;5,2;;;;;;;;
1016;Município;Porto de Mós;12 370;229 633;207 293;18 564;6 143;8 926;9 712;10 209;11 791;13 843;16 562;20 420;22 812;25 999;35 913;105;100;96;93;91;6 110;8 867;9 691;10 088;11 268;13 051;15 577;19 141;21 230;23 877;31 451;35,8;35,5;2,7;5,1;5,4;4,6;4,6;5,2;5,0;6,3;5,1;;;;;;;;
194;NUTS 3;   Viseu Dão Lafões;123 963;2 375 053;2 120 106;19 159;5 473;8 414;9 387;9 914;11 389;13 549;16 617;20 811;23 232;26 679;38 321;100;100;100;100;100;5 429;8 358;9 338;9 876;10 972;12 869;15 652;19 635;21 722;24 292;32 981;38,7;38,2;2,9;6,1;5,0;3,6;4,0;4,2;4,9;6,1;3,9;;;;;;;;
0901;Município;Aguiar da Beira;2 316;37 469;34 586;16 178;5 102;7 988;8 931;9 606;10 370;12 064;14 397;17 763;19 693;21 960;30 613;93;95;89;85;80;5 023;7 948;8 806;9 563;10 198;11 569;13 791;17 056;18 962;20 868;27 792;35,7;35,8;2,6;5,5;4,7;1,2;4,4;1,5;4,4;5,1;7,6;;;;;;;;
1802;Município;Carregal do Sal;4 270;73 743;67 183;17 270;5 676;8 541;9 470;9 894;11 060;12 979;15 389;19 078;20 854;23 285;33 136;104;101;96;90;86;5 604;8 522;9 409;9 870;10 685;12 252;14 545;18 019;19 893;21 683;29 387;35,8;35,3;2,5;5,2;6,0;4,1;4,9;4,5;4,5;7,2;6,1;;;;;;;;
1803;Município;Castro Daire;6 221;92 821;86 102;14 921;4 800;7 036;8 027;8 827;9 881;11 259;13 218;16 192;18 405;20 687;28 402;88;86;83;79;74;4 708;7 019;7 988;8 788;9 870;10 899;12 674;15 483;17 476;19 646;25 992;36,6;35,7;2,8;5,5;5,2;7,8;4,2;3,9;5,7;6,2;6,9;;;;;;;;
