Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Agregados Fiscais;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por agregado fiscal;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;20;25;30;40;50;60;70;75;80;90;;P80/P20;P90/P10;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;€;€;€;€;€;€;€;€;€;€;€;;Nº;Nº;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;;;;;;;;
0112;Município;Murtosa;4 711;76 007;68 588;16 134;3 274;6 164;7 440;8 492;9 597;11 480;14 095;17 851;20 394;23 254;33 656;3 228;6 101;7 365;8 443;9 320;10 935;13 346;16 853;19 117;21 444;29 579;40,7;3,5;9,2;;;;;;;;
0114;Município;Oliveira do Bairro;11 278;189 289;172 773;16 784;5 071;7 613;8 569;9 052;10 331;12 071;14 790;18 679;21 019;23 779;33 300;5 037;7 581;8 540;9 026;9 980;11 548;14 068;17 794;19 833;22 300;29 439;37,3;2,9;5,8;;;;;;;;
0115;Município;Ovar;28 427;506 072;453 426;17 802;4 978;7 703;8 480;9 080;10 565;12 504;15 240;19 033;21 629;24 807;35 567;4 937;7 673;8 457;9 047;10 182;11 912;14 413;17 900;20 197;22 741;30 839;38,8;3,0;6,2;;;;;;;;
0117;Município;Sever do Vouga;5 693;91 292;83 547;16 036;5 198;7 559;8 415;8 978;10 250;11 753;13 985;17 339;19 415;22 488;30 729;5 148;7 546;8 363;8 954;9 921;11 309;13 299;16 301;18 335;20 914;27 773;36,1;2,8;5,4;;;;;;;;
0118;Município;Vagos;10 844;174 078;157 761;16 053;4 541;7 114;8 173;8 890;9 908;11 433;13 745;17 252;19 367;22 158;30 957;4 490;7 028;8 129;8 862;9 592;11 000;13 071;16 332;18 256;20 646;27 582;37,9;2,9;6,1;;;;;;;;
192;NUTS 3;   Região de Coimbra;221 277;4 367 600;3 832 216;19 738;5 364;8 044;8 890;9 378;11 055;13 309;16 648;21 170;24 042;27 712;40 623;5 326;8 003;8 890;9 315;10 648;12 671;15 592;19 611;22 032;24 834;34 232;40,0;3,1;6,4;;;;;;;;
0601;Município;Arganil;5 349;78 099;72 713;14 601;4 794;7 295;8 181;8 826;9 490;10 930;13 059;15 974;17 852;19 966;27 558;4 792;7 285;8 168;8 802;9 328;10 598;12 636;15 263;17 244;18 966;25 307;35,3;2,6;5,3;;;;;;;;
0602;Município;Cantanhede;16 817;279 100;252 368;16 596;4 427;6 960;8 028;8 874;9 948;11 610;14 174;18 060;20 690;23 707;33 665;4 391;6 949;7 995;8 836;9 637;11 141;13 504;17 047;19 274;21 987;29 514;38,9;3,2;6,7;;;;;;;;
0603;Município;Coimbra;73 798;1 817 716;1 528 579;24 631;5 859;8 808;9 421;10 341;12 646;15 931;20 450;26 560;30 531;35 795;53 766;5 849;8 764;9 315;9 982;12 038;14 858;18 752;23 562;26 524;30 278;43 021;42,0;3,5;7,4;;;;;;;;
0604;Município;Condeixa-a-Nova;8 074;164 030;145 848;20 316;5 779;8 622;9 230;9 995;12 010;14 530;18 174;23 061;25 955;29 639;41 801;5 746;8 555;9 195;9 686;11 500;13 815;16 984;21 347;23 748;26 568;36 038;38,2;3,1;6,3;;;;;;;;
0605;Município;Figueira da Foz;30 470;602 877;530 463;19 786;5 219;8 152;8 947;9 555;11 446;13 782;17 297;22 138;25 029;28 477;40 328;5 185;8 111;8 913;9 321;10 953;13 106;16 124;20 373;22 724;25 343;34 129;39,2;3,1;6,6;;;;;;;;
0606;Município;Góis;1 920;27 925;25 936;14 544;4 823;7 354;8 021;8 786;9 598;10 989;13 120;15 967;17 777;19 893;27 794;4 823;7 290;7 995;8 757;9 337;10 651;12 552;15 162;16 995;18 940;24 973;34,9;2,6;5,2;;;;;;;;
0607;Município;Lousã;8 246;144 976;131 036;17 581;5 159;7 866;8 832;9 252;10 829;12 910;16 202;19 973;22 228;24 958;34 733;5 145;7 794;8 793;9 220;10 448;12 296;15 200;18 754;20 708;22 952;30 251;37,1;2,9;5,9;;;;;;;;
