DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Greece,2024,132149,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Spain,2013,280772,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Spain,2014,305454,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Spain,2015,342114,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Spain,2016,414746,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Spain,2017,532132,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Spain,2018,643684,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Spain,2019,750480,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Spain,2020,467918,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Spain,2021,887960,b,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Spain,2022,1258894,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Spain,2023,1250991,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Spain,2024,1288562,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,European Union - 27 countries (from 2020),2013,2901962,bep,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,European Union - 27 countries (from 2020),2014,3187841,ep,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,European Union - 27 countries (from 2020),2015,4097244,bep,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,European Union - 27 countries (from 2020),2016,3735536,bep,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,European Union - 27 countries (from 2020),2017,3766413,ep,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,European Union - 27 countries (from 2020),2018,3936055,ep,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,European Union - 27 countries (from 2020),2019,4206293,bep,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,European Union - 27 countries (from 2020),2020,3279673,ep,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,European Union - 27 countries (from 2020),2021,4132213,bep,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,European Union - 27 countries (from 2020),2022,6997284,ep,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,European Union - 27 countries (from 2020),2023,6011360,ep,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,European Union - 27 countries (from 2020),2024,5684984,ip,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Finland,2013,31941,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Finland,2014,31507,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Finland,2015,28746,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Finland,2016,34905,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Finland,2017,31797,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Finland,2018,31106,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Finland,2019,32758,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Finland,2020,32898,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Finland,2021,36364,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Finland,2022,49998,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Finland,2023,73236,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Finland,2024,63965,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,France,2013,338752,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,France,2014,340383,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,France,2015,364221,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,France,2016,377709,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,France,2017,369621,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,France,2018,387160,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,France,2019,385596,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,France,2020,331137,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,France,2021,388513,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,France,2022,490655,p,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,France,2023,467548,p,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,France,2024,438626,p,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Croatia,2013,10378,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Croatia,2014,10638,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Croatia,2015,11706,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Croatia,2016,13985,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Croatia,2017,15553,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Croatia,2018,26029,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Croatia,2019,37726,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Croatia,2020,33414,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Croatia,2021,35912,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Croatia,2022,57972,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Croatia,2023,69396,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Croatia,2024,70391,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Hungary,2013,38968,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Hungary,2014,54581,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Hungary,2015,58344,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Hungary,2016,53618,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Hungary,2017,68070,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Hungary,2018,82937,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Hungary,2019,88581,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Hungary,2020,75470,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Hungary,2021,80471,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Hungary,2022,94148,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Hungary,2023,96192,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Hungary,2024,88418,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Ireland,2013,65539,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Ireland,2014,73519,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Ireland,2015,80792,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Ireland,2016,93378,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Ireland,2017,84743,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Ireland,2018,105699,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Ireland,2019,96321,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Ireland,2020,81918,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Ireland,2021,83770,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Ireland,2022,157537,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Ireland,2023,135617,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Ireland,2024,127664,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Iceland,2013,6406,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Iceland,2014,5368,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Iceland,2015,5635,,
ESTAT:TPS00176(1.0),29/05/26 23:00:00,Annual,Total,Age in completed years,Total,Number,Total,Iceland,2016,8710,,
