region;year;employees_count
Alentejo Central;2021;38189
Alentejo Central;2022;40691
Alentejo Central;2023;42406
Alentejo Central;2024;42150
Algarve;2014;109922
Algarve;2015;117234
Algarve;2016;125990
Algarve;2017;135848
Algarve;2018;144110
Algarve;2019;149611
Algarve;2020;133944
Algarve;2021;137936
Algarve;2022;154670
Algarve;2023;166794
Algarve;2024;172373
