year;quarter;period;country;gdp_million_eur;unit;price_basis;seasonal_adjusted;notes;source_id;source
2023;Q3;2023-Q3;PT;68228.909;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2023;Q4;2023-Q4;PT;68951.617;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2024;Q1;2024-Q1;PT;71016.322;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2024;Q2;2024-Q2;PT;71794.887;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2024;Q3;2024-Q3;PT;72925.561;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2024;Q4;2024-Q4;PT;74047.547;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2025;Q1;2025-Q1;PT;74634.987;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2025;Q2;2025-Q2;PT;75940.667;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2025;Q3;2025-Q3;PT;77672.067;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2025;Q4;2025-Q4;PT;78501.834;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
2026;Q1;2026-Q1;PT;79406.697;million_eur;current_prices;yes;;F007;INE - Instituto Nacional de Estatística
