year;district;employees_count;source_id;source
2019;Região Autónoma dos Açores;85854;F014;Segurança Social
2020;Região Autónoma dos Açores;85141;F014;Segurança Social
2021;Região Autónoma dos Açores;89948;F014;Segurança Social
2022;Região Autónoma dos Açores;94738;F014;Segurança Social
2023;Região Autónoma dos Açores;98185;F014;Segurança Social
2024;Região Autónoma dos Açores;100573;F014;Segurança Social
2025;Região Autónoma dos Açores;102255;F014;Segurança Social
2010;Região Autónoma da Madeira;86274;F014;Segurança Social
2011;Região Autónoma da Madeira;83745;F014;Segurança Social
2012;Região Autónoma da Madeira;77945;F014;Segurança Social
2013;Região Autónoma da Madeira;74074;F014;Segurança Social
2014;Região Autónoma da Madeira;74708;F014;Segurança Social
2015;Região Autónoma da Madeira;75679;F014;Segurança Social
2016;Região Autónoma da Madeira;77978;F014;Segurança Social
2017;Região Autónoma da Madeira;81629;F014;Segurança Social
2018;Região Autónoma da Madeira;84808;F014;Segurança Social
2019;Região Autónoma da Madeira;88014;F014;Segurança Social
2020;Região Autónoma da Madeira;86272;F014;Segurança Social
2021;Região Autónoma da Madeira;90238;F014;Segurança Social
2022;Região Autónoma da Madeira;97317;F014;Segurança Social
2023;Região Autónoma da Madeira;102932;F014;Segurança Social
2024;Região Autónoma da Madeira;106739;F014;Segurança Social
2025;Região Autónoma da Madeira;110252;F014;Segurança Social
2010;Santarém;157604;F014;Segurança Social
2011;Santarém;155681;F014;Segurança Social
2012;Santarém;146951;F014;Segurança Social
2013;Santarém;141491;F014;Segurança Social
2014;Santarém;143015;F014;Segurança Social
2015;Santarém;146469;F014;Segurança Social
2016;Santarém;149153;F014;Segurança Social
2017;Santarém;153091;F014;Segurança Social
2018;Santarém;157536;F014;Segurança Social
2019;Santarém;162760;F014;Segurança Social
2020;Santarém;162275;F014;Segurança Social
2021;Santarém;167306;F014;Segurança Social
2022;Santarém;177668;F014;Segurança Social
2023;Santarém;187532;F014;Segurança Social
2024;Santarém;194146;F014;Segurança Social
2025;Santarém;199322;F014;Segurança Social
2010;Setúbal;312151;F014;Segurança Social
2011;Setúbal;310358;F014;Segurança Social
2012;Setúbal;291360;F014;Segurança Social
2013;Setúbal;278628;F014;Segurança Social
2014;Setúbal;282371;F014;Segurança Social
2015;Setúbal;290310;F014;Segurança Social
2016;Setúbal;298601;F014;Segurança Social
2017;Setúbal;313453;F014;Segurança Social
2018;Setúbal;330763;F014;Segurança Social
2019;Setúbal;348538;F014;Segurança Social
2020;Setúbal;349894;F014;Segurança Social
2021;Setúbal;359734;F014;Segurança Social
2022;Setúbal;389278;F014;Segurança Social
2023;Setúbal;412510;F014;Segurança Social
2024;Setúbal;432237;F014;Segurança Social
2025;Setúbal;449387;F014;Segurança Social
2010;Viana do Castelo;71641;F014;Segurança Social
2011;Viana do Castelo;71374;F014;Segurança Social
2012;Viana do Castelo;68685;F014;Segurança Social
2013;Viana do Castelo;67655;F014;Segurança Social
2014;Viana do Castelo;69068;F014;Segurança Social
2015;Viana do Castelo;70743;F014;Segurança Social
2016;Viana do Castelo;72964;F014;Segurança Social
2017;Viana do Castelo;76288;F014;Segurança Social
2018;Viana do Castelo;79070;F014;Segurança Social
2019;Viana do Castelo;82178;F014;Segurança Social
2020;Viana do Castelo;81800;F014;Segurança Social
2021;Viana do Castelo;83605;F014;Segurança Social
2022;Viana do Castelo;89661;F014;Segurança Social
2023;Viana do Castelo;93950;F014;Segurança Social
2024;Viana do Castelo;95247;F014;Segurança Social
2025;Viana do Castelo;96130;F014;Segurança Social
2010;Vila Real;50892;F014;Segurança Social
2011;Vila Real;50214;F014;Segurança Social
2012;Vila Real;47597;F014;Segurança Social
2013;Vila Real;45726;F014;Segurança Social
2014;Vila Real;45823;F014;Segurança Social
2015;Vila Real;46940;F014;Segurança Social
2016;Vila Real;47536;F014;Segurança Social
2017;Vila Real;49297;F014;Segurança Social
2018;Vila Real;51069;F014;Segurança Social
2019;Vila Real;52650;F014;Segurança Social
2020;Vila Real;52603;F014;Segurança Social
2021;Vila Real;54161;F014;Segurança Social
2022;Vila Real;56852;F014;Segurança Social
2023;Vila Real;59483;F014;Segurança Social
2024;Vila Real;60477;F014;Segurança Social
2025;Vila Real;62187;F014;Segurança Social
2010;Viseu;110204;F014;Segurança Social
2011;Viseu;109411;F014;Segurança Social
2012;Viseu;104221;F014;Segurança Social
2013;Viseu;101381;F014;Segurança Social
2014;Viseu;101902;F014;Segurança Social
2015;Viseu;104400;F014;Segurança Social
2016;Viseu;106349;F014;Segurança Social
2017;Viseu;110309;F014;Segurança Social
2018;Viseu;113984;F014;Segurança Social
2019;Viseu;118044;F014;Segurança Social
2020;Viseu;117455;F014;Segurança Social
2021;Viseu;120691;F014;Segurança Social
2022;Viseu;127852;F014;Segurança Social
2023;Viseu;133605;F014;Segurança Social
2024;Viseu;136902;F014;Segurança Social
2025;Viseu;140948;F014;Segurança Social
2010;Évora;55317;F014;Segurança Social
2011;Évora;55200;F014;Segurança Social
2012;Évora;52596;F014;Segurança Social
2013;Évora;51300;F014;Segurança Social
2014;Évora;52133;F014;Segurança Social
2015;Évora;53292;F014;Segurança Social
2016;Évora;53928;F014;Segurança Social
2017;Évora;55402;F014;Segurança Social
2018;Évora;56946;F014;Segurança Social
2019;Évora;58875;F014;Segurança Social
2020;Évora;58020;F014;Segurança Social
2021;Évora;59747;F014;Segurança Social
2022;Évora;63004;F014;Segurança Social
2023;Évora;66584;F014;Segurança Social
2024;Évora;67452;F014;Segurança Social
2025;Évora;67731;F014;Segurança Social
