Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Sujeitos Passivos;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por sujeito passivo;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;20;25;30;40;50;60;70;75;80;90;;P80/P20;P90/P10;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;€;€;€;€;€;€;€;€;€;€;€;;Nº;Nº;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;;;;;;;;
1302;Município;Baião;11 611;104 056;96 977;8 962;3 076;4 480;4 830;5 335;6 341;7 527;8 791;9 748;10 784;11 957;15 984;3 055;4 477;4 796;5 303;6 270;7 428;8 659;9 424;10 226;11 293;14 446;32,7;2,5;4,7;;;;;;;;
0106;Município;Castelo de Paiva;11 089;101 813;95 353;9 181;3 380;4 713;5 200;5 727;6 881;8 075;9 009;10 096;10 842;11 900;16 026;3 377;4 678;5 166;5 669;6 814;8 011;8 955;9 734;10 415;11 273;14 507;31,3;2,4;4,3;;;;;;;;
0305;Município;Celorico de Basto;11 079;100 321;93 475;9 055;2 843;4 459;4 882;5 343;6 438;7 678;8 836;9 582;10 370;11 566;16 103;2 789;4 454;4 860;5 325;6 393;7 604;8 784;9 317;9 944;10 933;14 644;33,6;2,5;5,3;;;;;;;;
1804;Município;Cinfães;11 594;95 548;89 302;8 241;2 282;3 915;4 439;4 777;5 573;6 660;8 012;9 085;9 769;10 959;15 180;2 278;3 899;4 430;4 750;5 537;6 597;7 897;8 974;9 442;10 495;13 853;36,2;2,7;6,1;;;;;;;;
1303;Município;Felgueiras;41 103;399 808;371 043;9 727;3 568;5 055;5 621;6 202;7 426;8 544;9 068;10 048;10 892;12 008;16 539;3 537;5 021;5 593;6 151;7 358;8 490;9 024;9 719;10 446;11 406;14 934;31,1;2,3;4,2;;;;;;;;
1305;Município;Lousada;34 541;323 430;302 358;9 364;3 146;4 744;5 325;5 931;7 215;8 375;8 936;10 086;10 980;12 021;16 287;3 141;4 722;5 302;5 886;7 157;8 321;8 893;9 734;10 524;11 458;14 728;31,7;2,4;4,7;;;;;;;;
1307;Município;Marco de Canaveses;33 469;305 194;283 164;9 119;2 633;4 391;4 785;5 288;6 346;7 621;8 772;9 794;10 760;11 997;16 668;2 614;4 391;4 761;5 252;6 283;7 546;8 691;9 458;10 334;11 388;14 995;35,1;2,6;5,7;;;;;;;;
1309;Município;Paços de Ferreira;39 904;377 477;351 226;9 460;3 328;4 731;5 268;5 825;7 110;8 300;8 890;9 777;10 651;11 787;16 406;3 314;4 722;5 241;5 786;7 065;8 248;8 879;9 477;10 238;11 243;14 835;32,0;2,4;4,5;;;;;;;;
1311;Município;Penafiel;49 505;497 943;457 298;10 058;3 272;4 764;5 334;5 876;7 155;8 393;9 174;10 632;11 661;12 998;18 401;3 253;4 732;5 312;5 845;7 081;8 295;9 094;10 223;11 066;12 168;16 301;33,9;2,6;5,0;;;;;;;;
1813;Município;Resende;6 530;55 771;51 721;8 541;1 905;3 600;4 240;4 587;5 485;6 676;8 015;9 155;10 068;11 329;16 196;1 894;3 594;4 239;4 575;5 458;6 619;7 946;9 085;9 701;10 812;14 729;38,9;3,0;7,8;;;;;;;;
11D;NUTS 3;   Douro;125 242;1 384 563;1 249 009;11 055;2 969;4 693;5 238;5 835;7 154;8 603;9 750;11 725;13 051;15 021;22 436;2 950;4 661;5 204;5 779;7 084;8 488;9 411;11 113;12 231;13 797;19 268;37,1;3,0;6,5;;;;;;;;
1701;Município;Alijó;7 460;67 786;62 967;9 087;2 672;4 397;4 792;5 266;6 320;7 435;8 751;9 918;10 929;12 226;16 871;2 664;4 396;4 772;5 229;6 263;7 350;8 652;9 598;10 443;11 522;15 268;34,6;2,6;5,7;;;;;;;;
1801;Município;Armamar;3 528;33 210;30 668;9 413;2 866;4 457;4 853;5 330;6 441;7 475;8 836;9 909;10 969;12 185;17 405;2 834;4 445;4 814;5 325;6 390;7 415;8 722;9 544;10 529;11 483;15 575;35,5;2,6;5,5;;;;;;;;
0403;Município;Carrazeda de Ansiães;3 533;34 697;31 938;9 821;2 843;4 445;4 939;5 407;6 567;7 707;9 009;10 660;11 694;13 289;19 094;2 816;4 445;4 894;5 396;6 505;7 620;8 921;10 214;11 136;12 416;17 000;36,1;2,8;6,0;;;;;;;;
0404;Município;Freixo de Espada à Cinta;2 309;22 978;21 232;9 951;3 718;4 976;5 415;6 045;7 234;8 442;9 407;10 941;11 925;13 120;17 723;3 718;4 966;5 378;5 959;7 195;8 303;9 299;10 403;11 231;12 129;15 808;31,4;2,4;4,3;;;;;;;;
1805;Município;Lamego;16 769;192 615;172 197;11 486;2 980;4 670;5 178;5 733;7 182;8 741;9 987;12 140;13 686;15 833;24 629;2 930;4 658;5 131;5 681;7 114;8 605;9 619;11 450;12 653;14 359;20 804;38,2;3,1;7,1;;;;;;;;
1704;Município;Mesão Frio;2 566;23 150;21 498;9 022;2 756;4 360;4 738;5 141;6 099;7 278;8 731;9 796;10 693;11 998;16 370;2 756;4 360;4 697;5 082;6 075;7 249;8 634;9 391;10 316;11 288;14 947;34,5;2,6;5,4;;;;;;;;
1807;Município;Moimenta da Beira;5 857;59 627;54 633;10 181;2 881;4 639;5 255;5 755;7 117;8 451;9 444;11 071;12 031;13 559;19 338;2 880;4 610;5 196;5 683;7 051;8 308;9 260;10 548;11 383;12 672;17 059;35,1;2,7;5,9;;;;;;;;
1707;Município;Murça;3 661;33 413;30 846;9 127;2 396;4 229;4 672;5 055;5 991;7 224;8 663;10 092;11 119;12 313;17 549;2 396;4 185;4 650;5 044;5 959;7 118;8 536;9 716;10 504;11 604;15 643;36,5;2,8;6,5;;;;;;;;
1812;Município;Penedono;1 797;17 135;15 644;9 536;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;
1708;Município;Peso da Régua;10 138;109 136;98 995;10 765;3 129;4 789;5 325;5 899;7 151;8 559;9 658;11 587;12 972;14 782;20 919;3 121;4 768;5 312;5 859;7 053;8 453;9 332;10 989;12 112;13 568;18 202;35,5;2,8;5,8;;;;;;;;
1710;Município;Sabrosa;3 881;37 539;34 779;9 672;3 212;4 788;5 325;5 842;6 893;8 266;9 228;10 458;11 411;12 556;17 381;3 189;4 767;5 292;5 773;6 855;8 204;9 091;10 050;10 848;11 744;15 459;32,4;2,5;4,8;;;;;;;;
1711;Município;Santa Marta de Penaguião;4 711;40 268;37 588;8 548;2 105;3 808;4 505;4 940;5 859;6 910;8 132;9 288;10 243;11 465;16 027;2 100;3 800;4 504;4 930;5 837;6 854;8 077;9 171;9 834;10 880;14 440;36,8;2,9;6,9;;;;;;;;
1815;Município;São João da Pesqueira;4 542;42 682;39 133;9 397;2 771;4 301;4 734;5 160;6 233;7 516;8 790;10 075;11 132;12 282;17 231;2 753;4 282;4 706;5 125;6 201;7 456;8 646;9 704;10 580;11 551;15 313;35,8;2,7;5,6;;;;;;;;
1818;Município;Sernancelhe;3 282;30 458;28 186;9 280;2 950;4 548;4 921;5 399;6 678;7 952;8 893;9 948;10 807;11 994;16 939;2 937;4 527;4 909;5 362;6 605;7 819;8 853;9 562;10 347;11 229;15 002;33,2;2,5;5,1;;;;;;;;
1819;Município;Tabuaço;3 045;27 568;25 506;9 054;2 660;4 287;4 591;4 989;6 076;7 154;8 558;9 731;10 723;12 150;18 015;2 641;4 260;4 591;4 963;6 041;7 079;8 422;9 360;10 240;11 477;15 972;35,6;2,7;6,0;;;;;;;;
1820;Município;Tarouca;4 360;42 557;39 350;9 761;2 818;4 574;5 136;5 678;6 892;8 291;9 185;10 657;11 558;12 906;18 909;2 811;4 568;5 075;5 636;6 817;8 193;9 116;10 212;11 085;12 193;16 672;34,4;2,7;5,9;;;;;;;;
0409;Município;Torre de Moncorvo;4 805;49 340;45 118;10 268;3 053;4 610;5 100;5 683;6 967;8 399;9 429;11 266;12 298;13 918;20 193;3 036;4 595;5 059;5 662;6 854;8 262;9 223;10 684;11 552;12 874;17 713;35,3;2,8;5,8;;;;;;;;
0914;Município;Vila Nova de Foz Côa;4 419;44 237;40 332;10 011;2 526;4 397;4 992;5 591;6 953;8 078;9 219;11 065;12 193;13 670;19 033;2 514;4 392;4 970;5 543;6 875;7 933;9 114;10 509;11 448;12 637;16 645;36,0;2,9;6,6;;;;;;;;
1714;Município;Vila Real;34 579;476 166;418 398;13 770;3 673;5 459;6 230;7 106;8 757;10 084;12 061;15 085;17 234;20 100;28 837;3 635;5 411;6 165;7 013;8 645;9 740;11 466;13 899;15 524;17 580;23 799;37,3;3,2;6,5;;;;;;;;
