Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Agregados Fiscais;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por agregado fiscal;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;20;25;30;40;50;60;70;75;80;90;;P80/P20;P90/P10;;;;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;;;;;;;;;;;;%;Nº;Nº;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;;;;;;;;;;;
1507;Município;Montijo;27 195;533 288;468 297;19 610;4 682;7 387;8 380;8 982;10 760;13 239;16 726;21 531;24 673;28 516;41 362;4 678;7 337;8 345;8 936;10 386;12 626;15 647;19 714;22 322;25 238;35 105;41,2;3,4;7,5;;;;;;;;;;;
1116;Município;Odivelas;79 045;1 562 553;1 372 336;19 768;4 921;7 652;8 441;9 188;11 166;13 739;17 191;22 151;25 107;28 851;41 555;4 880;7 604;8 400;9 145;10 698;12 990;15 978;20 127;22 626;25 634;35 132;40,3;3,4;7,2;;;;;;;;;;;
1110;Município;Oeiras;91 802;2 636 336;2 143 189;28 718;5 788;8 679;9 795;11 091;14 220;18 373;23 854;31 017;35 801;41 701;62 502;5 748;8 597;9 440;10 600;13 295;16 740;21 093;26 570;30 019;34 152;48 973;44,1;4,0;8,5;;;;;;;;;;;
1508;Município;Palmela;32 455;664 050;579 279;20 461;5 068;7 753;8 577;9 335;11 311;13 884;17 339;22 145;25 275;29 142;42 075;5 024;7 702;8 530;9 151;10 836;13 132;16 073;20 218;22 803;25 853;35 636;41,2;3,4;7,1;;;;;;;;;;;
1510;Município;Seixal;83 490;1 689 895;1 478 926;20 241;5 213;8 090;8 807;9 661;11 750;14 394;17 824;22 632;25 473;28 971;40 809;5 171;8 045;8 772;9 345;11 211;13 522;16 543;20 586;22 920;25 734;34 715;39,5;3,2;6,7;;;;;;;;;;;
1511;Município;Sesimbra;25 995;524 234;459 572;20 167;5 246;7 983;8 742;9 612;11 736;14 499;18 128;22 888;25 670;29 218;40 451;5 206;7 923;8 703;9 293;11 248;13 651;16 841;20 885;23 197;25 980;34 445;39,2;3,3;6,6;;;;;;;;;;;
1512;Município;Setúbal;62 560;1 295 018;1 124 935;20 700;4 992;7 879;8 721;9 540;11 550;14 210;17 799;22 725;25 961;29 852;42 901;4 954;7 839;8 688;9 226;11 053;13 372;16 448;20 654;23 161;26 255;35 908;40,8;3,3;7,2;;;;;;;;;;;
1111;Município;Sintra;199 005;3 785 945;3 329 597;19 024;4 808;7 620;8 400;9 103;10 889;13 125;16 179;20 681;23 483;26 898;38 534;4 780;7 571;8 400;9 070;10 466;12 434;15 092;18 935;21 373;24 171;32 962;40,2;3,2;6,9;;;;;;;;;;;
1114;Município;Vila Franca de Xira;70 321;1 406 427;1 247 779;20 000;5 626;8 400;9 114;9 983;12 046;14 721;18 198;22 808;25 569;29 080;40 343;5 590;8 400;9 078;9 659;11 490;13 843;16 896;20 902;23 249;26 092;34 501;37,9;3,1;6,2;;;;;;;;;;;
18;NUTS 2;  Alentejo;360 900;6 223 113;5 580 458;17 243;5 018;7 456;8 318;8 834;10 200;12 000;14 611;18 339;20 975;24 047;34 584;4 980;7 417;8 290;8 807;9 853;11 511;13 874;17 247;19 488;22 079;30 135;38,6;3,0;6,1;;;;;;;;;;;
181;NUTS 3;   Alentejo Litoral;52 168;887 101;787 087;17 005;4 265;6 626;7 553;8 388;9 532;11 200;13 748;17 432;20 005;23 424;35 282;4 230;6 600;7 517;8 344;9 168;10 725;12 969;16 276;18 549;21 480;30 487;41,4;3,3;7,2;;;;;;;;;;;
1501;Município;Alcácer do Sal;5 812;92 841;84 497;15 974;5 159;7 431;8 329;8 833;10 030;11 683;13 975;17 027;19 022;21 979;30 927;5 103;7 393;8 298;8 810;9 741;11 200;13 290;15 954;17 934;20 353;27 844;36,6;2,8;5,5;;;;;;;;;;;
1505;Município;Grândola;6 638;114 604;101 224;17 265;4 711;7 115;8 055;8 616;9 868;11 635;14 218;17 851;20 165;23 154;32 900;4 682;7 037;8 004;8 571;9 541;11 119;13 366;16 684;18 688;21 251;28 908;40,1;3,0;6,2;;;;;;;;;;;
0211;Município;Odemira;17 884;224 054;205 458;12 528;3 039;5 229;6 053;6 810;8 161;9 100;10 500;12 558;14 226;16 436;24 716;3 001;5 214;6 030;6 780;8 124;9 061;10 037;11 851;13 267;15 493;22 563;39,7;3,0;7,5;;;;;;;;;;;
1509;Município;Santiago do Cacém;14 323;298 096;259 113;20 812;5 391;7 814;8 602;9 309;11 190;13 796;17 150;22 133;25 228;29 501;45 330;5 371;7 785;8 567;9 151;10 722;13 026;15 984;20 292;22 955;26 106;37 751;41,2;3,4;7,0;;;;;;;;;;;
1513;Município;Sines;7 511;157 507;136 795;20 970;5 406;8 059;8 797;9 567;11 427;14 066;17 509;22 221;25 617;29 910;44 851;5 375;8 021;8 762;9 267;10 898;13 240;16 155;20 376;23 164;26 589;37 465;41,0;3,3;7,0;;;;;;;;;;;
184;NUTS 3;   Baixo Alentejo;56 278;967 974;866 760;17 200;4 903;7 443;8 300;8 806;10 097;11 868;14 525;18 360;21 009;24 263;35 253;4 861;7 399;8 260;8 770;9 743;11 385;13 786;17 207;19 447;22 058;30 564;38,8;3,0;6,3;;;;;;;;;;;
0201;Município;Aljustrel;4 486;83 375;74 180;18 586;5 748;8 036;8 686;9 284;10 789;13 002;16 221;20 465;23 634;27 027;37 785;5 748;8 011;8 653;9 151;10 430;12 390;15 116;18 937;21 361;24 340;32 657;37,8;3,0;5,7;;;;;;;;;;;
0202;Município;Almodôvar;3 581;62 282;55 463;17 392;4 787;6 788;7 707;8 453;9 706;11 395;14 061;18 277;21 528;25 567;37 696;4 779;6 780;7 663;8 432;9 439;10 959;13 361;17 070;19 864;23 034;32 191;40,5;3,4;6,7;;;;;;;;;;;
0203;Município;Alvito;1 040;16 782;15 344;16 137;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;
0204;Município;Barrancos;731;10 102;9 402;13 820;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;
0205;Município;Beja;16 790;330 458;290 239;19 682;5 275;8 012;8 721;9 336;11 091;13 384;16 908;21 904;24 804;28 306;41 302;5 229;8 006;8 689;9 151;10 618;12 763;15 801;20 124;22 367;25 209;34 537;39,6;3,1;6,6;;;;;;;;;;;
0206;Município;Castro Verde;3 251;71 355;61 834;21 949;6 510;8 687;9 284;9 960;11 923;14 854;18 322;23 687;27 318;31 664;45 640;6 441;8 631;9 152;9 561;11 479;13 977;17 015;21 575;24 508;27 530;38 083;39,6;3,2;5,9;;;;;;;;;;;
0207;Município;Cuba;2 160;34 257;31 148;15 860;3 617;6 877;7 778;8 443;9 675;11 365;13 695;16 844;18 889;22 037;32 409;3 569;6 844;7 761;8 411;9 372;10 941;13 275;15 997;17 802;20 420;29 080;39,4;3,0;8,1;;;;;;;;;;;
0208;Município;Ferreira do Alentejo;3 778;55 096;50 542;14 583;4 256;6 840;7 646;8 252;9 305;10 852;12 794;15 589;17 367;20 071;28 129;4 246;6 803;7 576;8 197;9 151;10 435;12 121;14 771;16 342;18 546;25 425;36,9;2,7;6,0;;;;;;;;;;;
0209;Município;Mértola;3 101;44 314;40 889;14 290;4 694;6 997;7 839;8 400;9 424;10 760;12 741;15 550;17 486;19 804;27 124;4 682;6 935;7 810;8 400;9 160;10 355;12 202;14 697;16 586;18 502;24 623;35,1;2,7;5,3;;;;;;;;;;;
0210;Município;Moura;5 845;87 407;80 062;14 954;4 367;6 796;7 706;8 400;9 424;10 852;12 931;15 932;18 000;20 421;29 718;4 287;6 756;7 678;8 400;9 203;10 482;12 373;15 096;16 975;19 297;26 587;37,5;2,9;6,2;;;;;;;;;;;
0212;Município;Ourique;2 461;38 049;34 468;15 461;4 682;6 935;7 879;8 477;9 520;10 893;13 096;16 747;18 674;21 155;31 071;4 682;6 895;7 839;8 434;9 160;10 575;12 558;15 650;17 386;19 411;27 265;37,6;2,8;5,8;;;;;;;;;;;
0213;Município;Serpa;6 469;94 953;87 031;14 678;4 387;6 990;7 764;8 400;9 346;10 711;12 604;15 569;17 548;20 155;28 531;4 316;6 928;7 747;8 380;9 151;10 374;12 032;14 749;16 668;18 860;25 406;36,9;2,7;5,9;;;;;;;;;;;
0214;Município;Vidigueira;2 585;39 544;36 158;15 298;4 784;7 276;8 033;8 497;9 516;10 906;13 123;16 398;18 516;21 621;30 515;4 726;7 239;8 026;8 487;9 216;10 593;12 542;15 385;17 539;19 963;27 227;36,7;2,8;5,8;;;;;;;;;;;
185;NUTS 3;   Lezíria do Tejo;119 257;2 051 580;1 844 902;17 203;5 001;7 388;8 299;8 825;10 246;12 087;14 659;18 363;20 994;24 003;34 410;4 973;7 354;8 265;8 794;9 917;11 593;13 932;17 284;19 528;22 105;30 103;38,6;3,0;6,1;;;;;;;;;;;
1403;Município;Almeirim;11 181;174 551;159 424;15 611;4 332;6 788;7 606;8 334;9 532;11 139;13 353;16 670;19 021;22 354;31 705;4 317;6 780;7 563;8 309;9 284;10 751;12 862;15 813;17 917;20 678;28 250;38,5;3,0;6,5;;;;;;;;;;;
1404;Município;Alpiarça;3 593;55 694;51 134;15 501;4 929;6 957;7 760;8 400;9 671;11 183;13 207;16 470;18 651;21 412;30 796;4 929;6 931;7 720;8 400;9 392;10 874;12 791;15 725;17 578;20 009;27 704;37,4;2,9;5,6;;;;;;;;;;;
1103;Município;Azambuja;10 618;181 272;164 294;17 072;5 176;7 539;8 400;9 000;10 520;12 439;15 124;18 716;21 360;24 287;33 841;5 118;7 506;8 400;8 980;10 148;11 883;14 271;17 535;19 837;22 601;29 943;37,5;3,0;5,9;;;;;;;;;;;
1405;Município;Benavente;14 679;268 350;238 170;18 281;4 904;7 563;8 400;8 933;10 465;12 515;15 453;19 674;22 330;25 478;36 031;4 865;7 527;8 400;8 891;10 078;11 934;14 683;18 447;20 779;23 299;31 336;39,7;3,1;6,4;;;;;;;;;;;
1406;Município;Cartaxo;12 018;212 483;190 946;17 680;5 294;7 907;8 580;9 214;10 798;12 818;15 672;19 361;21 787;24 737;34 835;5 250;7 879;8 549;9 151;10 401;12 203;14 712;18 071;20 129;22 742;30 429;37,5;2,9;5,8;;;;;;;;;;;
1407;Município;Chamusca;4 353;62 760;58 183;14 418;5 420;7 321;8 010;8 619;9 626;11 044;12 846;15 585;17 200;19 580;26 395;5 408;7 315;7 978;8 608;9 373;10 629;12 386;14 824;16 388;18 517;24 073;33,8;2,5;4,5;;;;;;;;;;;
1409;Município;Coruche;8 699;138 086;126 588;15 874;5 495;7 396;8 196;8 717;10 057;11 807;13 973;16 931;19 028;21 722;30 304;5 483;7 369;8 142;8 698;9 805;11 443;13 378;16 092;17 955;20 295;27 321;35,9;2,8;5,0;;;;;;;;;;;
1412;Município;Golegã;2 868;48 197;43 581;16 805;5 425;7 652;8 400;8 928;10 386;12 237;14 473;18 160;20 845;23 475;33 002;5 406;7 645;8 400;8 902;10 032;11 651;13 740;17 123;19 292;21 777;29 325;36,5;2,8;5,4;;;;;;;;;;;
