Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Sujeitos Passivos;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por sujeito passivo;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;20;25;30;40;50;60;70;75;80;90;;P80/P20;P90/P10;;;;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;;;;;;;;;;;;%;Nº;Nº;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;;;;;;;;;;;
1508;Município;Palmela;45 496;664 050;579 279;14 596;4 408;6 292;7 158;7 976;9 350;11 130;13 290;16 114;17 905;20 315;27 957;4 371;6 231;7 039;7 844;9 151;10 624;12 399;14 631;15 983;17 715;23 151;35,1;2,8;5,3;;;;;;;;;;;
1510;Município;Seixal;115 339;1 689 895;1 478 926;14 652;4 606;6 827;7 725;8 431;9 917;11 629;13 643;16 281;18 029;20 281;27 098;4 575;6 753;7 613;8 400;9 554;11 044;12 703;14 746;16 085;17 756;22 583;33,2;2,6;4,9;;;;;;;;;;;
1511;Município;Sesimbra;36 899;524 234;459 572;14 207;4 386;6 375;7 262;8 137;9 527;11 268;13 308;15 975;17 588;19 759;26 279;4 344;6 309;7 200;8 013;9 194;10 787;12 470;14 526;15 773;17 296;22 042;33,6;2,7;5,1;;;;;;;;;;;
1512;Município;Setúbal;85 831;1 295 018;1 124 935;15 088;4 490;6 586;7 488;8 343;9 740;11 534;13 735;16 711;18 678;21 187;29 314;4 464;6 521;7 386;8 217;9 392;10 957;12 773;15 089;16 555;18 354;24 001;34,9;2,8;5,4;;;;;;;;;;;
1111;Município;Sintra;267 122;3 785 945;3 329 597;14 173;4 403;6 584;7 426;8 234;9 470;11 072;12 923;15 464;17 123;19 326;26 629;4 371;6 511;7 335;8 133;9 163;10 597;12 155;14 153;15 420;17 043;22 256;33,8;2,6;5,1;;;;;;;;;;;
1114;Município;Vila Franca de Xira;98 282;1 406 427;1 247 779;14 310;5 017;7 200;8 085;8 713;10 146;11 733;13 624;16 171;17 728;19 742;26 357;4 974;7 139;7 972;8 606;9 780;11 171;12 733;14 700;15 890;17 381;22 083;30,9;2,4;4,4;;;;;;;;;;;
18;NUTS 2;  Alentejo;503 816;6 223 113;5 580 458;12 352;4 356;5 885;6 600;7 242;8 449;9 600;11 142;13 174;14 600;16 476;23 328;4 331;5 835;6 543;7 200;8 400;9 275;10 643;12 336;13 475;14 893;19 913;33,0;2,6;4,6;;;;;;;;;;;
181;NUTS 3;   Alentejo Litoral;70 645;887 101;787 087;12 557;4 001;5 526;6 247;6 968;8 306;9 431;11 046;13 244;14 762;16 870;24 580;3 971;5 485;6 187;6 894;8 191;9 152;10 528;12 364;13 571;15 170;20 736;35,2;2,8;5,2;;;;;;;;;;;
1501;Município;Alcácer do Sal;8 156;92 841;84 497;11 383;4 405;5 748;6 394;7 000;8 168;9 120;10 520;12 368;13 694;15 101;20 374;4 360;5 692;6 355;6 917;8 048;9 017;10 104;11 657;12 700;13 975;17 874;31,4;2,5;4,1;;;;;;;;;;;
1505;Município;Grândola;9 167;114 604;101 224;12 502;4 148;5 510;6 180;6 933;8 303;9 356;10 913;12 908;14 283;16 020;23 092;4 104;5 446;6 111;6 840;8 182;9 151;10 401;12 061;13 148;14 592;19 769;35,2;2,7;4,8;;;;;;;;;;;
0211;Município;Odemira;22 752;224 054;205 458;9 848;3 020;4 682;5 264;5 820;7 036;8 197;9 173;10 675;11 540;12 812;17 697;2 997;4 670;5 221;5 786;6 998;8 120;9 061;10 134;10 912;11 900;15 689;33,7;2,5;5,2;;;;;;;;;;;
1509;Município;Santiago do Cacém;20 145;298 096;259 113;14 798;4 661;6 371;7 200;7 934;9 246;10 953;13 026;15 985;18 085;20 964;30 059;4 615;6 338;7 120;7 843;9 103;10 450;12 219;14 481;16 078;18 074;24 450;35,1;2,9;5,3;;;;;;;;;;;
1513;Município;Sines;10 425;157 507;136 795;15 109;4 689;6 625;7 476;8 327;9 680;11 407;13 656;16 643;18 617;21 054;29 921;4 679;6 544;7 379;8 207;9 356;10 814;12 738;15 080;16 434;18 238;24 370;34,6;2,8;5,2;;;;;;;;;;;
184;NUTS 3;   Baixo Alentejo;78 772;967 974;866 760;12 288;4 212;5 748;6 474;7 189;8 400;9 510;11 062;13 235;14 769;16 793;23 703;4 200;5 708;6 404;7 088;8 325;9 168;10 546;12 336;13 563;15 071;20 150;33,4;2,6;4,8;;;;;;;;;;;
0201;Município;Aljustrel;6 407;83 375;74 180;13 013;4 892;6 300;7 069;7 738;8 919;10 240;12 074;14 387;16 195;17 969;23 996;4 812;6 229;7 003;7 629;8 820;9 826;11 352;13 238;14 545;16 020;20 397;31,3;2,6;4,2;;;;;;;;;;;
0202;Município;Almodôvar;5 095;62 282;55 463;12 224;3 936;5 211;5 807;6 529;7 782;8 927;10 854;13 409;15 195;17 680;24 655;3 935;5 174;5 751;6 442;7 681;8 823;10 314;12 535;13 954;15 651;20 708;35,4;3,0;5,3;;;;;;;;;;;
0203;Município;Alvito;1 467;16 782;15 344;11 440;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;
0204;Município;Barrancos;1 019;10 102;9 402;9 914;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;
0205;Município;Beja;23 194;330 458;290 239;14 248;4 758;6 677;7 511;8 277;9 469;10 980;12 854;15 617;17 429;19 828;27 315;4 702;6 600;7 422;8 151;9 151;10 499;12 001;14 186;15 617;17 405;22 679;33,2;2,6;4,8;;;;;;;;;;;
0206;Município;Castro Verde;4 674;71 355;61 834;15 266;5 095;7 039;7 839;8 478;9 680;11 345;13 771;16 802;18 966;21 561;29 103;4 974;6 958;7 699;8 359;9 301;10 753;12 705;14 986;16 598;18 487;23 943;33,8;2,7;4,8;;;;;;;;;;;
0207;Município;Cuba;3 040;34 257;31 148;11 269;3 748;5 508;6 211;6 859;7 952;8 909;10 310;12 167;13 455;15 251;21 414;3 698;5 475;6 196;6 780;7 852;8 796;9 878;11 518;12 499;13 900;18 322;32,8;2,5;5,0;;;;;;;;;;;
