year;nationality;gender;permits_granted;resident_count
2015;Índia;Feminino;346;2113
2015;Índia;Masculino;775;4822
2016;Afeganistão;Feminino;1;13
2016;Afeganistão;Masculino;4;25
2016;Albânia;Feminino;7;26
2016;Albânia;Masculino;5;21
2016;Alemanha;Feminino;766;4888
2016;Alemanha;Masculino;821;5142
2016;Andorra;Feminino;3;3
2016;Andorra;Masculino;4;6
2016;Angola;Feminino;742;9203
2016;Angola;Masculino;737;7791
2016;Apátrida;Feminino;4;6
2016;Apátrida;Masculino;2;6
2016;Argentina;Feminino;11;226
2016;Argentina;Masculino;26;212
2016;Argélia;Feminino;22;134
2016;Argélia;Masculino;22;181
2016;Arménia;Feminino;5;49
2016;Arménia;Masculino;7;40
2016;Arábia Saudita;Feminino;34;45
2016;Arábia Saudita;Masculino;38;53
2016;Austrália;Feminino;19;149
2016;Austrália;Masculino;25;149
2016;Azerbaijão;Feminino;2;18
2016;Azerbaijão;Masculino;4;17
2016;Bahamas;Feminino;0;0
2016;Bahamas;Masculino;1;1
2016;Bahrein;Feminino;0;1
2016;Bahrein;Masculino;1;10
2016;Bangladesh;Feminino;155;490
2016;Bangladesh;Masculino;282;2309
2016;Barbados;Feminino;0;4
2016;Barbados;Masculino;0;1
2016;Belize;Feminino;0;3
2016;Belize;Masculino;0;3
2016;Benin;Feminino;0;1
2016;Benin;Masculino;0;11
2016;Bermudas;Feminino;0;1
2016;Bermudas;Masculino;0;2
2016;Bielorrússia;Feminino;20;412
2016;Bielorrússia;Masculino;13;214
2016;Bolívia;Feminino;9;78
2016;Bolívia;Masculino;6;26
2016;Botswana;Feminino;0;3
2016;Botswana;Masculino;0;1
2016;Brasil;Feminino;4063;50313
2016;Brasil;Masculino;2996;30938
2016;Bulgária;Feminino;502;3530
2016;Bulgária;Masculino;355;3489
2016;Burkina Faso;Feminino;1;5
2016;Burkina Faso;Masculino;3;12
2016;Burundi;Feminino;0;2
2016;Burundi;Masculino;0;4
2016;Butão;Feminino;1;2
2016;Butão;Masculino;1;1
2016;Bélgica;Feminino;272;1315
2016;Bélgica;Masculino;322;1538
2016;Bósnia e Herzegovina;Feminino;1;38
2016;Bósnia e Herzegovina;Masculino;2;16
2016;Cabo Verde;Feminino;1067;19679
2016;Cabo Verde;Masculino;924;16899
2016;Camarões;Feminino;11;51
2016;Camarões;Masculino;42;118
2016;Camboja;Feminino;4;12
2016;Camboja;Masculino;0;7
2016;Canadá;Feminino;37;343
2016;Canadá;Masculino;39;395
2016;Cazaquistão;Feminino;21;308
2016;Cazaquistão;Masculino;14;220
2016;Chade;Feminino;0;2
2016;Chade;Masculino;0;2
2016;Chile;Feminino;21;123
2016;Chile;Masculino;10;93
2016;China;Feminino;1497;11189
2016;China;Masculino;1342;11314
2016;Chipre;Feminino;9;16
2016;Chipre;Masculino;8;13
2016;Colômbia;Feminino;57;569
2016;Colômbia;Masculino;46;317
2016;Comores;Feminino;0;0
2016;Comores;Masculino;0;1
2016;Congo;Feminino;13;50
2016;Congo;Masculino;12;33
2016;Coreia do Sul;Feminino;10;124
2016;Coreia do Sul;Masculino;11;91
2016;Costa Rica;Feminino;8;38
2016;Costa Rica;Masculino;3;23
2016;Costa do Marfim;Feminino;11;38
2016;Costa do Marfim;Masculino;8;94
2016;Croácia;Feminino;36;129
2016;Croácia;Masculino;22;93
2016;Cuba;Feminino;48;538
2016;Cuba;Masculino;41;427
2016;Desconhecido;Feminino;1;6
2016;Desconhecido;Masculino;0;9
2016;Dinamarca;Feminino;60;289
2016;Dinamarca;Masculino;89;369
2016;Djibuti;Feminino;0;2
2016;Djibuti;Masculino;0;3
2016;Dominica;Feminino;0;4
2016;Dominica;Masculino;0;1
2016;Egipto;Feminino;24;87
2016;Egipto;Masculino;20;192
2016;El Salvador;Feminino;1;17
2016;El Salvador;Masculino;3;21
2016;Emiratos Árabes Unidos;Feminino;1;2
2016;Emiratos Árabes Unidos;Masculino;2;7
2016;Equador;Feminino;37;182
2016;Equador;Masculino;56;160
2016;Eritreia;Feminino;35;37
2016;Eritreia;Masculino;132;93
2016;Eslováquia;Feminino;37;146
2016;Eslováquia;Masculino;25;61
2016;Eslovénia;Feminino;22;62
2016;Eslovénia;Masculino;16;55
2016;Espanha;Feminino;1032;5514
2016;Espanha;Masculino;1182;5619
2016;Essuatíni;Feminino;0;4
2016;Essuatíni;Masculino;0;0
2016;Estados Unidos da América;Feminino;227;1305
2016;Estados Unidos da América;Masculino;274;1400
2016;Estónia;Feminino;33;122
2016;Estónia;Masculino;12;35
2016;Etiópia;Feminino;3;25
2016;Etiópia;Masculino;15;28
2016;Filipinas;Feminino;46;526
2016;Filipinas;Masculino;35;224
2016;Finlândia;Feminino;103;457
2016;Finlândia;Masculino;113;541
2016;França;Feminino;1642;5288
2016;França;Masculino;1833;6005
2016;Gabão;Feminino;6;10
2016;Gabão;Masculino;2;12
2016;Gana;Feminino;6;54
2016;Gana;Masculino;14;87
2016;Geórgia;Feminino;14;285
2016;Geórgia;Masculino;13;332
2016;Granada;Feminino;0;2
2016;Granada;Masculino;0;2
2016;Grécia;Feminino;53;168
2016;Grécia;Masculino;54;159
2016;Guatemala;Feminino;2;23
2016;Guatemala;Masculino;1;20
2016;Guiana;Feminino;0;3
2016;Guiana;Masculino;1;4
2016;Guiné;Feminino;85;420
2016;Guiné;Masculino;113;943
2016;Guiné Equatorial;Feminino;2;25
2016;Guiné Equatorial;Masculino;0;30
2016;Guiné-Bissau;Feminino;524;7299
2016;Guiné-Bissau;Masculino;427;8354
2016;Gâmbia;Feminino;10;41
2016;Gâmbia;Masculino;13;110
2016;Haiti;Feminino;0;2
2016;Haiti;Masculino;2;4
2016;Honduras;Feminino;5;21
2016;Honduras;Masculino;1;11
2016;Hong Kong;Feminino;1;5
2016;Hong Kong;Masculino;1;6
2016;Hungria;Feminino;52;342
2016;Hungria;Masculino;39;178
2016;Ilhas Cook;Feminino;0;0
2016;Ilhas Cook;Masculino;0;1
2016;Ilhas Fiji;Feminino;0;3
2016;Ilhas Fiji;Masculino;1;1
2016;Ilhas Maurícias;Feminino;3;10
2016;Ilhas Maurícias;Masculino;5;12
2016;Indonésia;Feminino;16;70
2016;Indonésia;Masculino;25;87
2016;Iraque;Feminino;52;100
2016;Iraque;Masculino;79;128
2016;Irlanda;Feminino;92;464
2016;Irlanda;Masculino;141;567
2016;Irão;Feminino;67;290
2016;Irão;Masculino;68;362
2016;Islândia;Feminino;6;38
2016;Islândia;Masculino;7;28
2016;Israel;Feminino;11;63
2016;Israel;Masculino;19;72
2016;Itália;Feminino;1206;3496
2016;Itália;Masculino;1900;5027
2016;Iémen;Feminino;0;3
2016;Iémen;Masculino;5;15
2016;Jamaica;Feminino;0;6
2016;Jamaica;Masculino;3;9
2016;Japão;Feminino;23;250
2016;Japão;Masculino;20;190
2016;Jordânia;Feminino;38;78
2016;Jordânia;Masculino;52;111
2016;Kosovo;Feminino;1;11
2016;Kosovo;Masculino;0;10
2016;Kuwait;Feminino;0;2
2016;Kuwait;Masculino;3;4
2016;Laos;Feminino;0;3
2016;Laos;Masculino;1;3
2016;Lesoto;Feminino;0;3
2016;Lesoto;Masculino;0;0
2016;Letónia;Feminino;35;251
2016;Letónia;Masculino;13;98
2016;Libéria;Feminino;0;2
2016;Libéria;Masculino;0;11
2016;Liechtenstein;Feminino;2;4
2016;Liechtenstein;Masculino;3;4
2016;Lituânia;Feminino;65;401
2016;Lituânia;Masculino;32;184
2016;Luxemburgo;Feminino;9;68
2016;Luxemburgo;Masculino;18;98
2016;Líbano;Feminino;36;87
2016;Líbano;Masculino;41;131
2016;Líbia;Feminino;8;42
2016;Líbia;Masculino;6;54
2016;Macau;Feminino;1;1
2016;Macau;Masculino;0;1
2016;Macedónia do Norte;Feminino;9;22
2016;Macedónia do Norte;Masculino;0;11
2016;Madagáscar;Feminino;1;7
2016;Madagáscar;Masculino;0;0
2016;Maldivas;Feminino;0;1
2016;Maldivas;Masculino;0;2
2016;Mali;Feminino;6;11
2016;Mali;Masculino;4;46
2016;Malta;Feminino;3;12
2016;Malta;Masculino;3;12
2016;Malásia;Feminino;5;35
2016;Malásia;Masculino;5;25
2016;Maláui;Feminino;3;14
2016;Maláui;Masculino;1;3
2016;Marrocos;Feminino;48;793
2016;Marrocos;Masculino;44;783
2016;Mauritânia;Feminino;0;4
2016;Mauritânia;Masculino;3;21
2016;Mianmar;Feminino;2;4
2016;Mianmar;Masculino;2;5
2016;Moldávia;Feminino;150;3339
2016;Moldávia;Masculino;99;2786
2016;Mongólia;Feminino;4;19
2016;Mongólia;Masculino;0;8
2016;Montenegro;Feminino;0;5
2016;Montenegro;Masculino;1;7
2016;Moçambique;Feminino;176;1602
2016;Moçambique;Masculino;166;1246
2016;México;Feminino;45;291
2016;México;Masculino;36;183
2016;Namíbia;Feminino;0;13
2016;Namíbia;Masculino;1;3
2016;Nepal;Feminino;563;1972
2016;Nepal;Masculino;785;3863
2016;Nicarágua;Feminino;1;13
2016;Nicarágua;Masculino;0;2
2016;Nigéria;Feminino;39;177
2016;Nigéria;Masculino;82;301
2016;Noruega;Feminino;51;258
2016;Noruega;Masculino;53;315
2016;Nova Zelândia;Feminino;7;23
2016;Nova Zelândia;Masculino;4;22
2016;Níger;Feminino;0;1
2016;Níger;Masculino;0;0
2016;Omã;Feminino;0;0
2016;Omã;Masculino;0;2
2016;Palau;Feminino;0;0
2016;Palau;Masculino;0;1
2016;Palestina;Feminino;8;32
2016;Palestina;Masculino;11;41
2016;Panamá;Feminino;4;25
2016;Panamá;Masculino;5;7
2016;Paquistão;Feminino;158;1042
2016;Paquistão;Masculino;310;2133
2016;Paraguai;Feminino;9;73
2016;Paraguai;Masculino;9;30
2016;Países Baixos;Feminino;533;3196
2016;Países Baixos;Masculino;632;3644
2016;Peru;Feminino;14;176
2016;Peru;Masculino;14;108
2016;Polónia;Feminino;282;1104
2016;Polónia;Masculino;144;472
2016;Qatar;Feminino;1;1
2016;Qatar;Masculino;0;3
2016;Quirguistão;Feminino;0;17
2016;Quirguistão;Masculino;1;10
2016;Quénia;Feminino;10;47
2016;Quénia;Masculino;10;28
2016;Reino Unido;Feminino;1402;9185
2016;Reino Unido;Masculino;1664;10206
2016;República Centro-Africana;Feminino;2;4
2016;República Centro-Africana;Masculino;3;4
2016;República Checa;Feminino;60;208
2016;República Checa;Masculino;25;102
