size_band;gender;year;avg_monthly_earnings_eur
250-499 pessoas;masculino;2015;1505.39
250-499 pessoas;masculino;2016;1555.54
250-499 pessoas;masculino;2017;1578.34
250-499 pessoas;masculino;2018;1598.94
250-499 pessoas;masculino;2019;1604.08
250-499 pessoas;masculino;2020;1686.07
250-499 pessoas;masculino;2021;1774.56
250-499 pessoas;masculino;2022;1841.49
250-499 pessoas;masculino;2023;1987.57
250-499 pessoas;masculino;2024;2160.08
250-499 pessoas;feminino;2014;1200.42
250-499 pessoas;feminino;2015;1198.58
250-499 pessoas;feminino;2016;1258.38
250-499 pessoas;feminino;2017;1311.56
250-499 pessoas;feminino;2018;1341.62
250-499 pessoas;feminino;2019;1337.04
250-499 pessoas;feminino;2020;1410.05
250-499 pessoas;feminino;2021;1443.38
250-499 pessoas;feminino;2022;1499.83
250-499 pessoas;feminino;2023;1637.92
250-499 pessoas;feminino;2024;1758.55
500-999 pessoas;masculino;2014;1583.39
500-999 pessoas;masculino;2015;1563.21
500-999 pessoas;masculino;2016;1549.33
500-999 pessoas;masculino;2017;1518.44
500-999 pessoas;masculino;2018;1591.24
500-999 pessoas;masculino;2019;1715.02
500-999 pessoas;masculino;2020;1711.32
500-999 pessoas;masculino;2021;1764.57
500-999 pessoas;masculino;2022;1882.96
500-999 pessoas;masculino;2023;1990.54
500-999 pessoas;masculino;2024;2085.98
500-999 pessoas;feminino;2014;1286.24
500-999 pessoas;feminino;2015;1276.28
500-999 pessoas;feminino;2016;1279.67
500-999 pessoas;feminino;2017;1268.36
500-999 pessoas;feminino;2018;1298.09
500-999 pessoas;feminino;2019;1396.38
500-999 pessoas;feminino;2020;1403.75
500-999 pessoas;feminino;2021;1460.85
500-999 pessoas;feminino;2022;1602.14
500-999 pessoas;feminino;2023;1720.71
500-999 pessoas;feminino;2024;1894.56
1 000 e + pessoas;masculino;2014;1374.62
1 000 e + pessoas;masculino;2015;1413.26
1 000 e + pessoas;masculino;2016;1419.73
1 000 e + pessoas;masculino;2017;1429.38
1 000 e + pessoas;masculino;2018;1494.77
1 000 e + pessoas;masculino;2019;1561.56
1 000 e + pessoas;masculino;2020;1483.6
1 000 e + pessoas;masculino;2021;1578.06
1 000 e + pessoas;masculino;2022;1809.53
1 000 e + pessoas;masculino;2023;1940.59
1 000 e + pessoas;masculino;2024;2177.8
1 000 e + pessoas;feminino;2014;1081.02
1 000 e + pessoas;feminino;2015;1096.52
1 000 e + pessoas;feminino;2016;1113.84
1 000 e + pessoas;feminino;2017;1167.82
1 000 e + pessoas;feminino;2018;1223.27
1 000 e + pessoas;feminino;2019;1273.75
1 000 e + pessoas;feminino;2020;1283.54
1 000 e + pessoas;feminino;2021;1368.53
1 000 e + pessoas;feminino;2022;1448.5
1 000 e + pessoas;feminino;2023;1531.35
1 000 e + pessoas;feminino;2024;1753.68
