Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Sujeitos Passivos;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por sujeito passivo;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;20;25;30;40;50;60;70;75;80;90;;P80/P20;P90/P10;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;€;€;€;€;€;€;€;€;€;€;€;%;Nº;Nº;;;;;;;;
1712;Município;Valpaços;9 894;87 516;81 176;8 845;2 423;4 089;4 661;5 016;5 894;7 082;8 590;9 823;10 817;11 955;16 663;2 401;4 042;4 655;4 980;5 841;6 986;8 405;9 487;10 236;11 260;14 882;35,9;2,8;6,2;;;;;;;;
1713;Município;Vila Pouca de Aguiar;8 191;81 226;74 431;9 916;2 743;4 577;4 951;5 490;6 734;8 039;9 310;10 688;11 742;13 252;19 232;2 700;4 557;4 914;5 421;6 648;7 931;9 220;10 141;11 173;12 394;16 961;35,8;2,7;6,3;;;;;;;;
11C;NUTS 3;   Tâmega e Sousa;289 834;2 928 156;2 696 942;10 103;3 311;4 889;5 440;5 998;7 287;8 657;9 445;10 768;11 728;13 023;18 159;3 295;4 854;5 391;5 946;7 206;8 568;9 361;10 338;11 153;12 227;16 147;33,1;2,5;4,9;;;;;;;;
1301;Município;Amarante;36 899;383 249;348 940;10 386;3 065;4 701;5 158;5 698;6 952;8 407;9 445;10 930;12 012;13 577;19 792;3 050;4 683;5 116;5 664;6 862;8 297;9 349;10 438;11 372;12 677;17 442;35,7;2,7;5,7;;;;;;;;
1302;Município;Baião;11 637;108 938;101 122;9 361;3 176;4 716;5 020;5 517;6 631;7 980;9 200;10 312;11 266;12 572;16 737;3 140;4 708;4 987;5 474;6 563;7 845;9 083;9 876;10 716;11 755;14 925;32,5;2,5;4,8;;;;;;;;
0106;Município;Castelo de Paiva;11 180;109 404;101 870;9 786;3 761;5 010;5 522;6 045;7 232;8 549;9 546;10 830;11 592;12 717;17 062;3 755;4 977;5 495;6 028;7 146;8 457;9 415;10 398;11 072;12 011;15 252;30,9;2,4;4,1;;;;;;;;
0305;Município;Celorico de Basto;11 232;107 440;99 444;9 566;3 014;4 668;5 110;5 642;6 856;8 187;9 310;10 255;11 066;12 308;17 042;2 971;4 655;5 082;5 618;6 825;8 073;9 238;9 859;10 613;11 599;15 345;33,5;2,5;5,2;;;;;;;;
1804;Município;Cinfães;11 656;102 390;95 482;8 784;2 553;4 360;4 786;5 144;6 050;7 224;8 555;9 659;10 571;11 661;16 109;2 551;4 347;4 757;5 116;6 019;7 157;8 421;9 419;10 130;11 083;14 670;35,0;2,5;5,8;;;;;;;;
1303;Município;Felgueiras;41 435;431 217;397 298;10 407;3 853;5 390;6 010;6 642;7 887;9 111;9 699;10 891;11 752;12 943;17 876;3 816;5 348;5 983;6 591;7 808;9 044;9 415;10 460;11 176;12 171;15 880;30,8;2,3;4,2;;;;;;;;
1305;Município;Lousada;34 947;350 159;325 254;10 020;3 497;5 065;5 683;6 316;7 690;8 932;9 486;10 817;11 762;13 004;17 543;3 476;5 029;5 647;6 262;7 595;8 848;9 400;10 383;11 201;12 263;15 662;31,4;2,4;4,5;;;;;;;;
1307;Município;Marco de Canaveses;33 997;331 949;305 853;9 764;2 972;4 668;5 106;5 641;6 822;8 158;9 310;10 508;11 510;12 835;17 775;2 964;4 662;5 075;5 600;6 740;8 026;9 255;10 088;10 941;12 059;15 851;34,7;2,6;5,3;;;;;;;;
