Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Agregados Fiscais;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por agregado fiscal;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado por agregado fiscal (NUTS III=100);;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;Taxa de crescimento anual médio do rendimento bruto declarado deduzido do IRS liquidado por agregado fiscal (2021 - 2023);Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2022);;;Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2023);;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;25;50;75;90;10;20;25;30;40;50;60;70;75;80;90;2021;2023;P80/P20;P90/P10;;25;50;75;25;50;75;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;%;;;;;€;€;€;€;€;€;€;€;€;€;€;%;;Nº;Nº;%;;;;;;;;;;;;;;
1306;Município;Maia;72 416;1 825 367;1 567 598;25 207;6 316;9 566;10 640;11 452;13 929;17 180;21 620;27 583;31 310;36 330;53 135;114;107;115;118;117;6 244;9 471;10 613;11 197;13 148;16 020;19 961;24 906;27 881;31 539;43 912;41,1;40,6;3,3;7,0;6,2;6,0;6,1;4,6;7,5;6,2;6,2;;;;;;;;
1308;Município;Matosinhos;95 438;2 362 973;2 009 550;24 759;5 997;9 291;10 430;11 141;13 454;16 378;20 407;25 869;29 392;34 185;51 305;108;105;110;111;113;5 924;9 200;10 349;10 964;12 742;15 361;18 796;23 458;26 301;29 695;42 012;41,8;41,4;3,2;7,1;5,7;5,3;5,6;4,2;6,1;5,9;5,9;;;;;;;;
0113;Município;Oliveira de Azeméis;36 893;741 158;665 863;20 089;6 413;9 142;10 179;10 817;12 524;14 749;17 762;21 991;24 448;27 392;38 286;115;103;99;92;84;6 342;9 120;10 111;10 738;11 974;13 996;16 705;20 701;22 957;25 457;33 617;36,8;36,5;2,8;5,3;7,3;5,4;7,7;5,6;4,9;7,0;7,7;;;;;;;;
1310;Município;Paredes;44 733;768 573;701 808;17 181;4 583;7 617;8 893;9 887;10 830;12 448;14 967;19 020;21 208;23 707;32 969;82;90;83;80;72;4 583;7 568;8 848;9 839;10 758;11 966;14 216;17 915;20 327;22 366;29 444;38,5;38,0;3,0;6,4;7,7;7,9;8,6;8,5;5,6;6,8;9,0;;;;;;;;
1312;Município;Porto;141 194;3 849 055;3 104 686;27 261;4 614;7 885;9 143;10 267;12 112;15 000;19 395;26 240;31 109;37 628;60 357;83;92;100;118;133;4 569;7 785;9 100;10 142;11 617;14 012;17 712;23 144;26 560;31 056;47 182;47,6;47,7;4,0;10,3;2,7;2,3;2,9;2,3;3,3;2,5;2,5;;;;;;;;
1313;Município;Póvoa de Varzim;35 836;724 301;640 617;20 212;4 977;7 885;9 120;10 185;11 485;13 916;17 079;21 560;24 276;27 968;40 815;90;92;93;92;90;4 919;7 806;9 087;10 114;11 228;13 186;16 085;20 339;22 648;25 517;35 093;40,5;40,5;3,3;7,1;6,6;5,3;7,0;5,5;4,4;6,2;7,2;;;;;;;;
0109;Município;Santa Maria da Feira;73 630;1 470 394;1 316 735;19 970;5 870;8 821;9 880;10 640;12 242;14 406;17 301;21 616;24 212;27 211;38 365;106;100;96;92;84;5 813;8 774;9 813;10 640;11 793;13 687;16 342;20 384;22 745;25 232;33 432;38,1;37,6;2,9;5,8;7,3;6,6;7,3;6,0;4,3;7,2;8,9;;;;;;;;
1314;Município;Santo Tirso;37 305;742 817;664 835;19 912;6 405;9 120;10 126;10 648;12 188;14 364;17 006;21 112;23 248;26 148;37 292;115;102;96;88;82;6 356;9 060;10 076;10 640;11 772;13 686;16 227;19 915;22 068;24 416;32 617;36,7;37,0;2,7;5,1;7,8;5,8;8,7;7,6;4,5;6,8;8,9;;;;;;;;
0116;Município;São João da Madeira;12 813;264 535;233 556;20 646;5 785;8 652;9 793;10 640;12 179;14 198;17 117;21 545;24 187;27 581;41 193;104;99;95;92;91;5 709;8 573;9 700;10 624;11 752;13 498;16 187;20 087;22 581;25 261;35 247;39,8;39,2;2,9;6,2;7,0;5,7;7,3;4,5;6,2;6,6;6,8;;;;;;;;
1318;Município;Trofa;21 739;428 074;384 639;19 692;5 935;9 014;10 123;10 707;12 320;14 649;17 579;21 608;24 131;26 977;37 599;107;102;98;91;83;5 879;8 965;10 035;10 651;11 834;13 864;16 539;20 279;22 545;25 026;32 768;36,8;36,7;2,8;5,6;6,7;5,1;6,7;5,4;4,7;6,6;7,5;;;;;;;;
