size_band;gender;year;avg_monthly_wage_eur
250-499 pessoas;feminino;2024;1450.31
500-999 pessoas;masculino;2014;1234.33
500-999 pessoas;masculino;2015;1221.46
500-999 pessoas;masculino;2016;1215.42
500-999 pessoas;masculino;2017;1177.68
500-999 pessoas;masculino;2018;1237.74
500-999 pessoas;masculino;2019;1338.61
500-999 pessoas;masculino;2020;1346.59
500-999 pessoas;masculino;2021;1386.46
500-999 pessoas;masculino;2022;1477.34
500-999 pessoas;masculino;2023;1551.09
500-999 pessoas;masculino;2024;1657.29
500-999 pessoas;feminino;2014;1063.48
500-999 pessoas;feminino;2015;1061.69
500-999 pessoas;feminino;2016;1068.59
500-999 pessoas;feminino;2017;1047.38
500-999 pessoas;feminino;2018;1066.85
500-999 pessoas;feminino;2019;1155.71
500-999 pessoas;feminino;2020;1153.23
500-999 pessoas;feminino;2021;1206.52
500-999 pessoas;feminino;2022;1319.36
500-999 pessoas;feminino;2023;1416.39
500-999 pessoas;feminino;2024;1543.89
1 000 e + pessoas;masculino;2014;1075.68
1 000 e + pessoas;masculino;2015;1106.82
1 000 e + pessoas;masculino;2016;1107.86
1 000 e + pessoas;masculino;2017;1112.99
1 000 e + pessoas;masculino;2018;1165.62
1 000 e + pessoas;masculino;2019;1232.67
1 000 e + pessoas;masculino;2020;1180.98
1 000 e + pessoas;masculino;2021;1275.42
1 000 e + pessoas;masculino;2022;1445.56
1 000 e + pessoas;masculino;2023;1522.18
1 000 e + pessoas;masculino;2024;1687.78
1 000 e + pessoas;feminino;2014;902.85
1 000 e + pessoas;feminino;2015;921.23
1 000 e + pessoas;feminino;2016;937.91
1 000 e + pessoas;feminino;2017;971.03
1 000 e + pessoas;feminino;2018;1008.24
1 000 e + pessoas;feminino;2019;1052.75
1 000 e + pessoas;feminino;2020;1053.36
1 000 e + pessoas;feminino;2021;1127.64
1 000 e + pessoas;feminino;2022;1189.99
1 000 e + pessoas;feminino;2023;1253.51
1 000 e + pessoas;feminino;2024;1409.71
