year;district;employees_count;self_employed_count;employee_contribution_amount;self_employed_contribution_amount;remuneration_amount;employers_count;total_workers;total_contribution_amount;source_id;source
2013;Porto;606393;64828;2224954594.68;84945267.91;6662765008.62;70474;671221;2309899862.59;F014;Segurança Social
2013;Região Autónoma da Madeira;74074;9340;256871015.36;8521641.29;774228852.43;8960;83414;265392656.65;F014;Segurança Social
2013;Região Autónoma dos Açores;70068;16667;239562420.71;14697445.05;721614050.5;7730;86735;254259865.76;F014;Segurança Social
2013;Santarém;141491;16893;470265536.21;23030440.27;1406452484.74;16395;158384;493295976.48;F014;Segurança Social
2013;Setúbal;278628;30105;1158617341.51;37726480.26;3454177126.98;24173;308733;1196343821.77;F014;Segurança Social
2013;Viana do Castelo;67655;12947;204320658.61;16448094.63;613977900.77;9740;80602;220768753.24;F014;Segurança Social
2013;Vila Real;45726;11427;129057943.74;13319235.17;393788355.75;7154;57153;142377178.91;F014;Segurança Social
2013;Viseu;101381;18105;304477275.77;21372088.14;916500724.03;13302;119486;325849363.91;F014;Segurança Social
2013;Évora;51300;7772;159806185.87;10357633.47;483742689.7;6864;59072;170163819.34;F014;Segurança Social
2014;Aveiro;255852;28669;911367186.48;36961739.34;2707037190.14;26258;284521;948328925.82;F014;Segurança Social
2014;Beja;47284;7114;141509593.67;10007128.09;423808148.57;5845;54398;151516721.76;F014;Segurança Social
2014;Braga;300267;31318;951181769.05;39440327.81;2838896432.13;34837;331585;990622096.86;F014;Segurança Social
2014;Bragança;29430;8350;83787331.64;9935735.11;253900198.44;4889;37780;93723066.75;F014;Segurança Social
2014;Castelo Branco;53300;7985;163582645.7;10504698.73;491880718.7;6664;61285;174087344.43;F014;Segurança Social
2014;Coimbra;128827;18483;469778690.9;22773581.88;1410242954.73;13908;147310;492552272.78;F014;Segurança Social
2014;Faro;163834;22624;496228460.6;30083343.1;1472528415.06;22134;186458;526311803.7;F014;Segurança Social
2014;Guarda;39971;7876;119016087.48;10216498.47;358055252.11;5842;47847;129232585.95;F014;Segurança Social
2014;Leiria;160686;19001;554917982.52;26812107.9;1653763157.69;20443;179687;581730090.42;F014;Segurança Social
2014;Lisboa;806657;89508;3895170942.62;104446123.95;11642733383.64;96777;896165;3999617066.57;F014;Segurança Social
