year;district;employees_count;self_employed_count;employee_contribution_amount;self_employed_contribution_amount;remuneration_amount;employers_count;total_workers;total_contribution_amount;source_id;source
2019;Setúbal;348538;41919;1589208657.07;38849744.17;4677623843.75;28335;390457;1628058401.24;F014;Segurança Social
2019;Viana do Castelo;82178;15020;293633682.37;14027749.64;865476669.95;9957;97198;307661432.01;F014;Segurança Social
2019;Vila Real;52650;13086;180459080.94;10250078.07;536114335.46;7513;65736;190709159.01;F014;Segurança Social
2019;Viseu;118044;18933;424489477.01;17318581.24;1255223262.45;13653;136977;441808058.25;F014;Segurança Social
2019;Évora;58875;8532;220388093.0;8813080.58;651923903.7;7075;67407;229201173.58;F014;Segurança Social
2020;Aveiro;296531;34433;1218851765.02;33246251.9;3684447683.55;27587;330964;1252098016.92;F014;Segurança Social
2020;Beja;64978;8091;214562996.11;8715338.61;643831804.42;6597;73069;223278334.72;F014;Segurança Social
2020;Braga;356228;40268;1363975934.79;37991654.31;4141542181.84;37818;396496;1401967589.1;F014;Segurança Social
2020;Bragança;33446;9022;116918377.79;7043549.42;353931114.05;4854;42468;123961927.21;F014;Segurança Social
2020;Castelo Branco;59441;8544;218530552.46;8265769.63;661811527.0;6763;67985;226796322.09;F014;Segurança Social
2020;Coimbra;148619;21574;632516984.74;20411619.8;1912670895.43;14830;170193;652928604.54;F014;Segurança Social
2020;Faro;204948;32930;698009159.3;33016100.04;2139893457.97;25832;237878;731025259.34;F014;Segurança Social
2020;Guarda;43675;7803;157913819.3;7140369.4;476791913.04;5568;51478;165054188.7;F014;Segurança Social
2020;Leiria;188231;23374;759969674.73;24421864.87;2293416410.32;21871;211605;784391539.6;F014;Segurança Social
2020;Lisboa;999719;138958;5144856866.71;115156327.23;15567394307.07;115669;1138677;5260013193.94;F014;Segurança Social
2020;Outro;15808;2367;74016691.08;3817398.85;223858343.83;1008;18175;77834089.93;F014;Segurança Social
2020;Portalegre;36222;5231;130033832.59;5567257.83;390489369.87;4365;41453;135601090.42;F014;Segurança Social
2020;Porto;737094;83305;3134558683.75;75451935.32;9512385817.61;78722;820399;3210010619.07;F014;Segurança Social
2020;Região Autónoma da Madeira;86272;11692;336236708.55;8232881.48;1033204338.9;9849;97964;344469590.03;F014;Segurança Social
2020;Região Autónoma dos Açores;85141;17288;341053487.03;13811795.6;1033394084.2;8493;102429;354865282.63;F014;Segurança Social
2020;Santarém;162275;18912;636132437.4;18758909.4;1909968331.59;16444;181187;654891346.8;F014;Segurança Social
2020;Setúbal;349894;44439;1587148402.43;36772530.74;4793554223.45;28629;394333;1623920933.17;F014;Segurança Social
2020;Viana do Castelo;81800;14526;294699779.86;12765517.88;891018460.09;9824;96326;307465297.74;F014;Segurança Social
2020;Vila Real;52603;12535;185131166.93;9504150.77;560719448.01;7398;65138;194635317.7;F014;Segurança Social
2020;Viseu;117455;18271;431232184.44;16113695.72;1304477032.17;13483;135726;447345880.16;F014;Segurança Social
2020;Évora;58020;8059;220846040.51;8062038.11;667380317.7;7029;66079;228908078.62;F014;Segurança Social
2021;Aveiro;303316;34731;1347850791.47;35498646.81;3987590766.3;27824;338047;1383349438.28;F014;Segurança Social
2021;Beja;69303;7935;237798863.39;8746338.68;706696920.04;6789;77238;246545202.07;F014;Segurança Social
2021;Braga;364863;40842;1532834291.46;40252766.58;4531874575.05;38476;405705;1573087058.04;F014;Segurança Social
2021;Bragança;34728;9009;128612697.14;7244588.99;383271942.5;4972;43737;135857286.13;F014;Segurança Social
2021;Castelo Branco;61280;8446;239499767.16;8628828.83;710430516.77;6858;69726;248128595.99;F014;Segurança Social
2021;Coimbra;152843;21657;691606087.14;21264939.13;2055585357.49;14961;174500;712871026.27;F014;Segurança Social
2021;Faro;212653;33905;775626992.22;35529975.56;2309824697.74;26029;246558;811156967.78;F014;Segurança Social
2021;Guarda;44381;7692;171668992.61;7132092.04;509853141.78;5616;52073;178801084.65;F014;Segurança Social
2021;Leiria;194357;23963;836011788.64;25851536.52;2477591882.29;22150;218320;861863325.16;F014;Segurança Social
2021;Lisboa;1017470;141992;5533596416.85;124694244.67;16423679826.4;116576;1159462;5658290661.52;F014;Segurança Social
